Regione,inapp_quota_lavoratori_con_formazione_aziendale_pct,inapp_quota_lavoratori_con_formazione_individuale_pct,inapp_quota_assenza_totale_formazione_3anni_pct,note_scientifiche
PIEMONTE,34.8,12.4,52.8,L'indagine INAPP PLUS sulla formazione continua documenta che oltre l'83% della forza lavoro adulta (25-64 anni) nel Mezzogiorno non riceve alcuna ora di aggiornamento professionale o upskilling dalle imprese o da istituzioni pubbliche.
VALLE D'AOSTA,34.8,12.4,52.8,L'indagine INAPP PLUS sulla formazione continua documenta che oltre l'83% della forza lavoro adulta (25-64 anni) nel Mezzogiorno non riceve alcuna ora di aggiornamento professionale o upskilling dalle imprese o da istituzioni pubbliche.
LOMBARDIA,34.8,12.4,52.8,L'indagine INAPP PLUS sulla formazione continua documenta che oltre l'83% della forza lavoro adulta (25-64 anni) nel Mezzogiorno non riceve alcuna ora di aggiornamento professionale o upskilling dalle imprese o da istituzioni pubbliche.
TRENTINO-ALTO ADIGE,34.8,12.4,52.8,L'indagine INAPP PLUS sulla formazione continua documenta che oltre l'83% della forza lavoro adulta (25-64 anni) nel Mezzogiorno non riceve alcuna ora di aggiornamento professionale o upskilling dalle imprese o da istituzioni pubbliche.
VENETO,34.8,12.4,52.8,L'indagine INAPP PLUS sulla formazione continua documenta che oltre l'83% della forza lavoro adulta (25-64 anni) nel Mezzogiorno non riceve alcuna ora di aggiornamento professionale o upskilling dalle imprese o da istituzioni pubbliche.
FRIULI VENEZIA GIULIA,34.8,12.4,52.8,L'indagine INAPP PLUS sulla formazione continua documenta che oltre l'83% della forza lavoro adulta (25-64 anni) nel Mezzogiorno non riceve alcuna ora di aggiornamento professionale o upskilling dalle imprese o da istituzioni pubbliche.
LIGURIA,34.8,12.4,52.8,L'indagine INAPP PLUS sulla formazione continua documenta che oltre l'83% della forza lavoro adulta (25-64 anni) nel Mezzogiorno non riceve alcuna ora di aggiornamento professionale o upskilling dalle imprese o da istituzioni pubbliche.
EMILIA ROMAGNA,34.8,12.4,52.8,L'indagine INAPP PLUS sulla formazione continua documenta che oltre l'83% della forza lavoro adulta (25-64 anni) nel Mezzogiorno non riceve alcuna ora di aggiornamento professionale o upskilling dalle imprese o da istituzioni pubbliche.
TOSCANA,24.2,9.8,66.0,L'indagine INAPP PLUS sulla formazione continua documenta che oltre l'83% della forza lavoro adulta (25-64 anni) nel Mezzogiorno non riceve alcuna ora di aggiornamento professionale o upskilling dalle imprese o da istituzioni pubbliche.
UMBRIA,24.2,9.8,66.0,L'indagine INAPP PLUS sulla formazione continua documenta che oltre l'83% della forza lavoro adulta (25-64 anni) nel Mezzogiorno non riceve alcuna ora di aggiornamento professionale o upskilling dalle imprese o da istituzioni pubbliche.
MARCHE,24.2,9.8,66.0,L'indagine INAPP PLUS sulla formazione continua documenta che oltre l'83% della forza lavoro adulta (25-64 anni) nel Mezzogiorno non riceve alcuna ora di aggiornamento professionale o upskilling dalle imprese o da istituzioni pubbliche.
LAZIO,24.2,9.8,66.0,L'indagine INAPP PLUS sulla formazione continua documenta che oltre l'83% della forza lavoro adulta (25-64 anni) nel Mezzogiorno non riceve alcuna ora di aggiornamento professionale o upskilling dalle imprese o da istituzioni pubbliche.
ABRUZZO,11.5,5.2,83.3,L'indagine INAPP PLUS sulla formazione continua documenta che oltre l'83% della forza lavoro adulta (25-64 anni) nel Mezzogiorno non riceve alcuna ora di aggiornamento professionale o upskilling dalle imprese o da istituzioni pubbliche.
MOLISE,11.5,5.2,83.3,L'indagine INAPP PLUS sulla formazione continua documenta che oltre l'83% della forza lavoro adulta (25-64 anni) nel Mezzogiorno non riceve alcuna ora di aggiornamento professionale o upskilling dalle imprese o da istituzioni pubbliche.
CAMPANIA,11.5,5.2,83.3,L'indagine INAPP PLUS sulla formazione continua documenta che oltre l'83% della forza lavoro adulta (25-64 anni) nel Mezzogiorno non riceve alcuna ora di aggiornamento professionale o upskilling dalle imprese o da istituzioni pubbliche.
PUGLIA,11.5,5.2,83.3,L'indagine INAPP PLUS sulla formazione continua documenta che oltre l'83% della forza lavoro adulta (25-64 anni) nel Mezzogiorno non riceve alcuna ora di aggiornamento professionale o upskilling dalle imprese o da istituzioni pubbliche.
BASILICATA,11.5,5.2,83.3,L'indagine INAPP PLUS sulla formazione continua documenta che oltre l'83% della forza lavoro adulta (25-64 anni) nel Mezzogiorno non riceve alcuna ora di aggiornamento professionale o upskilling dalle imprese o da istituzioni pubbliche.
CALABRIA,11.5,5.2,83.3,L'indagine INAPP PLUS sulla formazione continua documenta che oltre l'83% della forza lavoro adulta (25-64 anni) nel Mezzogiorno non riceve alcuna ora di aggiornamento professionale o upskilling dalle imprese o da istituzioni pubbliche.
SICILIA,11.5,5.2,83.3,L'indagine INAPP PLUS sulla formazione continua documenta che oltre l'83% della forza lavoro adulta (25-64 anni) nel Mezzogiorno non riceve alcuna ora di aggiornamento professionale o upskilling dalle imprese o da istituzioni pubbliche.
SARDEGNA,11.5,5.2,83.3,L'indagine INAPP PLUS sulla formazione continua documenta che oltre l'83% della forza lavoro adulta (25-64 anni) nel Mezzogiorno non riceve alcuna ora di aggiornamento professionale o upskilling dalle imprese o da istituzioni pubbliche.
