Regione,Macroarea,inps_lavoratori_domestici_e_cura_regolari_per_10k_anziani_n,inps_quota_contratti_cura_domestica_regolari_su_stima_totale_pct,fonte_istituzionale,note_scientifiche
PIEMONTE,Nord-Ovest,404.1,61.5,INPS Osservatorio Lavoratori Domestici / ISTAT Struttura Demografica e Care Drain,Misura l'intensità del lavoro di cura degli anziani che ricade sulle famiglie allargate (specialmente sulle donne e sui giovani coabitanti).
VALLE D'AOSTA,Nord-Ovest,414.1,63.4,INPS Osservatorio Lavoratori Domestici / ISTAT Struttura Demografica e Care Drain,Misura l'intensità del lavoro di cura degli anziani che ricade sulle famiglie allargate (specialmente sulle donne e sui giovani coabitanti).
LOMBARDIA,Nord-Ovest,409.4,60.6,INPS Osservatorio Lavoratori Domestici / ISTAT Struttura Demografica e Care Drain,Misura l'intensità del lavoro di cura degli anziani che ricade sulle famiglie allargate (specialmente sulle donne e sui giovani coabitanti).
TRENTINO-ALTO ADIGE,Nord-Est,417.9,60.7,INPS Osservatorio Lavoratori Domestici / ISTAT Struttura Demografica e Care Drain,Misura l'intensità del lavoro di cura degli anziani che ricade sulle famiglie allargate (specialmente sulle donne e sui giovani coabitanti).
VENETO,Nord-Est,432.5,66.1,INPS Osservatorio Lavoratori Domestici / ISTAT Struttura Demografica e Care Drain,Misura l'intensità del lavoro di cura degli anziani che ricade sulle famiglie allargate (specialmente sulle donne e sui giovani coabitanti).
FRIULI-VENEZIA GIULIA,Nord-Est,411.0,63.6,INPS Osservatorio Lavoratori Domestici / ISTAT Struttura Demografica e Care Drain,Misura l'intensità del lavoro di cura degli anziani che ricade sulle famiglie allargate (specialmente sulle donne e sui giovani coabitanti).
LIGURIA,Nord-Ovest,445.2,59.8,INPS Osservatorio Lavoratori Domestici / ISTAT Struttura Demografica e Care Drain,Misura l'intensità del lavoro di cura degli anziani che ricade sulle famiglie allargate (specialmente sulle donne e sui giovani coabitanti).
EMILIA-ROMAGNA,Nord-Est,435.1,60.8,INPS Osservatorio Lavoratori Domestici / ISTAT Struttura Demografica e Care Drain,Misura l'intensità del lavoro di cura degli anziani che ricade sulle famiglie allargate (specialmente sulle donne e sui giovani coabitanti).
TOSCANA,Centro,312.6,55.7,INPS Osservatorio Lavoratori Domestici / ISTAT Struttura Demografica e Care Drain,Misura l'intensità del lavoro di cura degli anziani che ricade sulle famiglie allargate (specialmente sulle donne e sui giovani coabitanti).
UMBRIA,Centro,319.5,56.4,INPS Osservatorio Lavoratori Domestici / ISTAT Struttura Demografica e Care Drain,Misura l'intensità del lavoro di cura degli anziani che ricade sulle famiglie allargate (specialmente sulle donne e sui giovani coabitanti).
MARCHE,Centro,295.0,51.7,INPS Osservatorio Lavoratori Domestici / ISTAT Struttura Demografica e Care Drain,Misura l'intensità del lavoro di cura degli anziani che ricade sulle famiglie allargate (specialmente sulle donne e sui giovani coabitanti).
LAZIO,Centro,309.0,50.4,INPS Osservatorio Lavoratori Domestici / ISTAT Struttura Demografica e Care Drain,Misura l'intensità del lavoro di cura degli anziani che ricade sulle famiglie allargate (specialmente sulle donne e sui giovani coabitanti).
ABRUZZO,Sud,196.3,32.3,INPS Osservatorio Lavoratori Domestici / ISTAT Struttura Demografica e Care Drain,Misura l'intensità del lavoro di cura degli anziani che ricade sulle famiglie allargate (specialmente sulle donne e sui giovani coabitanti).
MOLISE,Sud,192.7,39.7,INPS Osservatorio Lavoratori Domestici / ISTAT Struttura Demografica e Care Drain,Misura l'intensità del lavoro di cura degli anziani che ricade sulle famiglie allargate (specialmente sulle donne e sui giovani coabitanti).
CAMPANIA,Sud,178.1,35.5,INPS Osservatorio Lavoratori Domestici / ISTAT Struttura Demografica e Care Drain,Misura l'intensità del lavoro di cura degli anziani che ricade sulle famiglie allargate (specialmente sulle donne e sui giovani coabitanti).
PUGLIA,Sud,184.1,41.9,INPS Osservatorio Lavoratori Domestici / ISTAT Struttura Demografica e Care Drain,Misura l'intensità del lavoro di cura degli anziani che ricade sulle famiglie allargate (specialmente sulle donne e sui giovani coabitanti).
BASILICATA,Sud,183.2,39.1,INPS Osservatorio Lavoratori Domestici / ISTAT Struttura Demografica e Care Drain,Misura l'intensità del lavoro di cura degli anziani che ricade sulle famiglie allargate (specialmente sulle donne e sui giovani coabitanti).
CALABRIA,Sud,169.5,40.0,INPS Osservatorio Lavoratori Domestici / ISTAT Struttura Demografica e Care Drain,Misura l'intensità del lavoro di cura degli anziani che ricade sulle famiglie allargate (specialmente sulle donne e sui giovani coabitanti).
SICILIA,Isole,189.1,35.5,INPS Osservatorio Lavoratori Domestici / ISTAT Struttura Demografica e Care Drain,Misura l'intensità del lavoro di cura degli anziani che ricade sulle famiglie allargate (specialmente sulle donne e sui giovani coabitanti).
SARDEGNA,Isole,188.2,36.5,INPS Osservatorio Lavoratori Domestici / ISTAT Struttura Demografica e Care Drain,Misura l'intensità del lavoro di cura degli anziani che ricade sulle famiglie allargate (specialmente sulle donne e sui giovani coabitanti).
