Regione,Macroarea,inps_quota_nuovi_contratti_indeterminato_laureati_pct,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,41.9,INPS / Excelsior Tipologia Contrattuale,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,40.4,INPS / Excelsior Tipologia Contrattuale,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,45.3,INPS / Excelsior Tipologia Contrattuale,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,40.8,INPS / Excelsior Tipologia Contrattuale,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,43.1,INPS / Excelsior Tipologia Contrattuale,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,39.2,INPS / Excelsior Tipologia Contrattuale,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,43.0,INPS / Excelsior Tipologia Contrattuale,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,40.3,INPS / Excelsior Tipologia Contrattuale,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,38.9,INPS / Excelsior Tipologia Contrattuale,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,40.8,INPS / Excelsior Tipologia Contrattuale,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,37.5,INPS / Excelsior Tipologia Contrattuale,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,37.9,INPS / Excelsior Tipologia Contrattuale,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,27.3,INPS / Excelsior Tipologia Contrattuale,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,29.9,INPS / Excelsior Tipologia Contrattuale,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,27.1,INPS / Excelsior Tipologia Contrattuale,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,29.7,INPS / Excelsior Tipologia Contrattuale,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,29.0,INPS / Excelsior Tipologia Contrattuale,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,30.0,INPS / Excelsior Tipologia Contrattuale,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,29.2,INPS / Excelsior Tipologia Contrattuale,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,30.2,INPS / Excelsior Tipologia Contrattuale,Verificato e Certificato - Osservatorio Italienation
