Regione,Macroarea,inps_quota_under35_percettori_naspi_su_totale_cessazioni_pct,inps_giornate_media_cassa_integrazione_cig_under35_anno_n,fonte_istituzionale,note_scientifiche
PIEMONTE,Nord-Ovest,22.0,14.8,INPS Osservatorio CIG e NASpI / Ministero del Lavoro e delle Politiche Sociali,Quantifica l'indennizzo di disoccupazione transitoria e il ricorso ad ammortizzatori sociali nei primi anni di carriera.
VALLE D'AOSTA,Nord-Ovest,17.5,14.1,INPS Osservatorio CIG e NASpI / Ministero del Lavoro e delle Politiche Sociali,Quantifica l'indennizzo di disoccupazione transitoria e il ricorso ad ammortizzatori sociali nei primi anni di carriera.
LOMBARDIA,Nord-Ovest,19.3,14.4,INPS Osservatorio CIG e NASpI / Ministero del Lavoro e delle Politiche Sociali,Quantifica l'indennizzo di disoccupazione transitoria e il ricorso ad ammortizzatori sociali nei primi anni di carriera.
TRENTINO-ALTO ADIGE,Nord-Est,19.1,10.7,INPS Osservatorio CIG e NASpI / Ministero del Lavoro e delle Politiche Sociali,Quantifica l'indennizzo di disoccupazione transitoria e il ricorso ad ammortizzatori sociali nei primi anni di carriera.
VENETO,Nord-Est,16.7,12.8,INPS Osservatorio CIG e NASpI / Ministero del Lavoro e delle Politiche Sociali,Quantifica l'indennizzo di disoccupazione transitoria e il ricorso ad ammortizzatori sociali nei primi anni di carriera.
FRIULI-VENEZIA GIULIA,Nord-Est,18.4,15.0,INPS Osservatorio CIG e NASpI / Ministero del Lavoro e delle Politiche Sociali,Quantifica l'indennizzo di disoccupazione transitoria e il ricorso ad ammortizzatori sociali nei primi anni di carriera.
LIGURIA,Nord-Ovest,18.3,15.0,INPS Osservatorio CIG e NASpI / Ministero del Lavoro e delle Politiche Sociali,Quantifica l'indennizzo di disoccupazione transitoria e il ricorso ad ammortizzatori sociali nei primi anni di carriera.
EMILIA-ROMAGNA,Nord-Est,19.2,16.6,INPS Osservatorio CIG e NASpI / Ministero del Lavoro e delle Politiche Sociali,Quantifica l'indennizzo di disoccupazione transitoria e il ricorso ad ammortizzatori sociali nei primi anni di carriera.
TOSCANA,Centro,25.3,19.4,INPS Osservatorio CIG e NASpI / Ministero del Lavoro e delle Politiche Sociali,Quantifica l'indennizzo di disoccupazione transitoria e il ricorso ad ammortizzatori sociali nei primi anni di carriera.
UMBRIA,Centro,22.5,19.8,INPS Osservatorio CIG e NASpI / Ministero del Lavoro e delle Politiche Sociali,Quantifica l'indennizzo di disoccupazione transitoria e il ricorso ad ammortizzatori sociali nei primi anni di carriera.
MARCHE,Centro,25.0,18.4,INPS Osservatorio CIG e NASpI / Ministero del Lavoro e delle Politiche Sociali,Quantifica l'indennizzo di disoccupazione transitoria e il ricorso ad ammortizzatori sociali nei primi anni di carriera.
LAZIO,Centro,23.6,18.0,INPS Osservatorio CIG e NASpI / Ministero del Lavoro e delle Politiche Sociali,Quantifica l'indennizzo di disoccupazione transitoria e il ricorso ad ammortizzatori sociali nei primi anni di carriera.
ABRUZZO,Sud,34.6,29.1,INPS Osservatorio CIG e NASpI / Ministero del Lavoro e delle Politiche Sociali,Quantifica l'indennizzo di disoccupazione transitoria e il ricorso ad ammortizzatori sociali nei primi anni di carriera.
MOLISE,Sud,30.5,28.7,INPS Osservatorio CIG e NASpI / Ministero del Lavoro e delle Politiche Sociali,Quantifica l'indennizzo di disoccupazione transitoria e il ricorso ad ammortizzatori sociali nei primi anni di carriera.
CAMPANIA,Sud,32.4,31.8,INPS Osservatorio CIG e NASpI / Ministero del Lavoro e delle Politiche Sociali,Quantifica l'indennizzo di disoccupazione transitoria e il ricorso ad ammortizzatori sociali nei primi anni di carriera.
PUGLIA,Sud,35.8,29.4,INPS Osservatorio CIG e NASpI / Ministero del Lavoro e delle Politiche Sociali,Quantifica l'indennizzo di disoccupazione transitoria e il ricorso ad ammortizzatori sociali nei primi anni di carriera.
BASILICATA,Sud,33.7,28.4,INPS Osservatorio CIG e NASpI / Ministero del Lavoro e delle Politiche Sociali,Quantifica l'indennizzo di disoccupazione transitoria e il ricorso ad ammortizzatori sociali nei primi anni di carriera.
CALABRIA,Sud,37.9,28.9,INPS Osservatorio CIG e NASpI / Ministero del Lavoro e delle Politiche Sociali,Quantifica l'indennizzo di disoccupazione transitoria e il ricorso ad ammortizzatori sociali nei primi anni di carriera.
SICILIA,Isole,35.3,34.1,INPS Osservatorio CIG e NASpI / Ministero del Lavoro e delle Politiche Sociali,Quantifica l'indennizzo di disoccupazione transitoria e il ricorso ad ammortizzatori sociali nei primi anni di carriera.
SARDEGNA,Isole,36.7,29.9,INPS Osservatorio CIG e NASpI / Ministero del Lavoro e delle Politiche Sociali,Quantifica l'indennizzo di disoccupazione transitoria e il ricorso ad ammortizzatori sociali nei primi anni di carriera.
