Regione,Macroarea,inps_retribuzione_mediana_annua_under30_euro_n,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,15767.7,INPS Osservatorio sul Precariato,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,16742.0,INPS Osservatorio sul Precariato,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,16441.9,INPS Osservatorio sul Precariato,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,18422.3,INPS Osservatorio sul Precariato,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,15902.1,INPS Osservatorio sul Precariato,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,14901.0,INPS Osservatorio sul Precariato,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,15748.5,INPS Osservatorio sul Precariato,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,16091.6,INPS Osservatorio sul Precariato,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,16383.6,INPS Osservatorio sul Precariato,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,15729.0,INPS Osservatorio sul Precariato,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,14798.0,INPS Osservatorio sul Precariato,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,12676.8,INPS Osservatorio sul Precariato,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,12200.6,INPS Osservatorio sul Precariato,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,10643.9,INPS Osservatorio sul Precariato,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,11291.3,INPS Osservatorio sul Precariato,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,11314.4,INPS Osservatorio sul Precariato,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,10840.3,INPS Osservatorio sul Precariato,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,12004.2,INPS Osservatorio sul Precariato,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,10434.6,INPS Osservatorio sul Precariato,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,11130.4,INPS Osservatorio sul Precariato,Verificato e Certificato - Osservatorio Italienation
