Regione,Macroarea,invalsi_varianza_punteggio_spiegata_da_escs_pct,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,16.3,INVALSI Impatto Status ESCS,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,13.6,INVALSI Impatto Status ESCS,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,14.7,INVALSI Impatto Status ESCS,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,13.3,INVALSI Impatto Status ESCS,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,13.8,INVALSI Impatto Status ESCS,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,14.1,INVALSI Impatto Status ESCS,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,14.5,INVALSI Impatto Status ESCS,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,16.2,INVALSI Impatto Status ESCS,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,16.6,INVALSI Impatto Status ESCS,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,17.2,INVALSI Impatto Status ESCS,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,18.1,INVALSI Impatto Status ESCS,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,17.2,INVALSI Impatto Status ESCS,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,23.5,INVALSI Impatto Status ESCS,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,23.1,INVALSI Impatto Status ESCS,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,21.1,INVALSI Impatto Status ESCS,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,23.0,INVALSI Impatto Status ESCS,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,22.7,INVALSI Impatto Status ESCS,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,20.7,INVALSI Impatto Status ESCS,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,20.8,INVALSI Impatto Status ESCS,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,22.5,INVALSI Impatto Status ESCS,Verificato e Certificato - Osservatorio Italienation
