Regione,Macroarea,istat_eu_silc_tasso_deprivazione_materiale_sociale_minori_pct,istat_caritas_incidenza_poverta_assoluta_famiglie_con_minori_pct,fonte_istituzionale,note_scientifiche
PIEMONTE,Nord-Ovest,5.4,9.4,ISTAT EU-SILC / CARITAS Italiana Rapporto su Povertà ed Esclusione Sociale,Misura il quadro primario di deprivazione materiale entro cui matura il deficit di opportunità presociologiche (Assioma 2).
VALLE D'AOSTA,Nord-Ovest,6.4,5.7,ISTAT EU-SILC / CARITAS Italiana Rapporto su Povertà ed Esclusione Sociale,Misura il quadro primario di deprivazione materiale entro cui matura il deficit di opportunità presociologiche (Assioma 2).
LOMBARDIA,Nord-Ovest,5.8,8.3,ISTAT EU-SILC / CARITAS Italiana Rapporto su Povertà ed Esclusione Sociale,Misura il quadro primario di deprivazione materiale entro cui matura il deficit di opportunità presociologiche (Assioma 2).
TRENTINO-ALTO ADIGE,Nord-Est,8.2,8.0,ISTAT EU-SILC / CARITAS Italiana Rapporto su Povertà ed Esclusione Sociale,Misura il quadro primario di deprivazione materiale entro cui matura il deficit di opportunità presociologiche (Assioma 2).
VENETO,Nord-Est,3.3,8.5,ISTAT EU-SILC / CARITAS Italiana Rapporto su Povertà ed Esclusione Sociale,Misura il quadro primario di deprivazione materiale entro cui matura il deficit di opportunità presociologiche (Assioma 2).
FRIULI-VENEZIA GIULIA,Nord-Est,6.9,8.3,ISTAT EU-SILC / CARITAS Italiana Rapporto su Povertà ed Esclusione Sociale,Misura il quadro primario di deprivazione materiale entro cui matura il deficit di opportunità presociologiche (Assioma 2).
LIGURIA,Nord-Ovest,3.5,11.4,ISTAT EU-SILC / CARITAS Italiana Rapporto su Povertà ed Esclusione Sociale,Misura il quadro primario di deprivazione materiale entro cui matura il deficit di opportunità presociologiche (Assioma 2).
EMILIA-ROMAGNA,Nord-Est,6.2,8.9,ISTAT EU-SILC / CARITAS Italiana Rapporto su Povertà ed Esclusione Sociale,Misura il quadro primario di deprivazione materiale entro cui matura il deficit di opportunità presociologiche (Assioma 2).
TOSCANA,Centro,13.1,14.0,ISTAT EU-SILC / CARITAS Italiana Rapporto su Povertà ed Esclusione Sociale,Misura il quadro primario di deprivazione materiale entro cui matura il deficit di opportunità presociologiche (Assioma 2).
UMBRIA,Centro,8.2,15.0,ISTAT EU-SILC / CARITAS Italiana Rapporto su Povertà ed Esclusione Sociale,Misura il quadro primario di deprivazione materiale entro cui matura il deficit di opportunità presociologiche (Assioma 2).
MARCHE,Centro,8.2,11.0,ISTAT EU-SILC / CARITAS Italiana Rapporto su Povertà ed Esclusione Sociale,Misura il quadro primario di deprivazione materiale entro cui matura il deficit di opportunità presociologiche (Assioma 2).
LAZIO,Centro,8.0,12.4,ISTAT EU-SILC / CARITAS Italiana Rapporto su Povertà ed Esclusione Sociale,Misura il quadro primario di deprivazione materiale entro cui matura il deficit di opportunità presociologiche (Assioma 2).
ABRUZZO,Sud,17.8,22.4,ISTAT EU-SILC / CARITAS Italiana Rapporto su Povertà ed Esclusione Sociale,Misura il quadro primario di deprivazione materiale entro cui matura il deficit di opportunità presociologiche (Assioma 2).
MOLISE,Sud,18.8,19.9,ISTAT EU-SILC / CARITAS Italiana Rapporto su Povertà ed Esclusione Sociale,Misura il quadro primario di deprivazione materiale entro cui matura il deficit di opportunità presociologiche (Assioma 2).
CAMPANIA,Sud,17.4,21.1,ISTAT EU-SILC / CARITAS Italiana Rapporto su Povertà ed Esclusione Sociale,Misura il quadro primario di deprivazione materiale entro cui matura il deficit di opportunità presociologiche (Assioma 2).
PUGLIA,Sud,17.7,20.6,ISTAT EU-SILC / CARITAS Italiana Rapporto su Povertà ed Esclusione Sociale,Misura il quadro primario di deprivazione materiale entro cui matura il deficit di opportunità presociologiche (Assioma 2).
BASILICATA,Sud,23.0,19.1,ISTAT EU-SILC / CARITAS Italiana Rapporto su Povertà ed Esclusione Sociale,Misura il quadro primario di deprivazione materiale entro cui matura il deficit di opportunità presociologiche (Assioma 2).
CALABRIA,Sud,17.1,20.6,ISTAT EU-SILC / CARITAS Italiana Rapporto su Povertà ed Esclusione Sociale,Misura il quadro primario di deprivazione materiale entro cui matura il deficit di opportunità presociologiche (Assioma 2).
SICILIA,Isole,21.9,24.2,ISTAT EU-SILC / CARITAS Italiana Rapporto su Povertà ed Esclusione Sociale,Misura il quadro primario di deprivazione materiale entro cui matura il deficit di opportunità presociologiche (Assioma 2).
SARDEGNA,Isole,18.7,23.4,ISTAT EU-SILC / CARITAS Italiana Rapporto su Povertà ed Esclusione Sociale,Misura il quadro primario di deprivazione materiale entro cui matura il deficit di opportunità presociologiche (Assioma 2).
