Regione,Macroarea,census_housing_sqm_per_capita_n,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,42.6,Censimento Popolazione Abitazioni ISTAT,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,40.8,Censimento Popolazione Abitazioni ISTAT,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,34.7,Censimento Popolazione Abitazioni ISTAT,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,38.7,Censimento Popolazione Abitazioni ISTAT,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,40.2,Censimento Popolazione Abitazioni ISTAT,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,35.1,Censimento Popolazione Abitazioni ISTAT,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,38.3,Censimento Popolazione Abitazioni ISTAT,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,36.3,Censimento Popolazione Abitazioni ISTAT,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,35.5,Censimento Popolazione Abitazioni ISTAT,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,36.3,Censimento Popolazione Abitazioni ISTAT,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,37.2,Censimento Popolazione Abitazioni ISTAT,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,40.1,Censimento Popolazione Abitazioni ISTAT,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,35.9,Censimento Popolazione Abitazioni ISTAT,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,33.3,Censimento Popolazione Abitazioni ISTAT,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,31.5,Censimento Popolazione Abitazioni ISTAT,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,31.9,Censimento Popolazione Abitazioni ISTAT,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,32.4,Censimento Popolazione Abitazioni ISTAT,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,31.7,Censimento Popolazione Abitazioni ISTAT,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,32.6,Censimento Popolazione Abitazioni ISTAT,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,30.8,Censimento Popolazione Abitazioni ISTAT,Verificato e Certificato - Osservatorio Italienation
