Regione,Macroarea,istat_quota_popolazione_laureata_oltre_25_anni_pct,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,20.8,ISTAT Censimento Popolazione per Istruzione,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,23.7,ISTAT Censimento Popolazione per Istruzione,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,22.5,ISTAT Censimento Popolazione per Istruzione,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,23.6,ISTAT Censimento Popolazione per Istruzione,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,23.0,ISTAT Censimento Popolazione per Istruzione,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,22.9,ISTAT Censimento Popolazione per Istruzione,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,22.6,ISTAT Censimento Popolazione per Istruzione,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,20.9,ISTAT Censimento Popolazione per Istruzione,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,18.9,ISTAT Censimento Popolazione per Istruzione,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,21.8,ISTAT Censimento Popolazione per Istruzione,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,22.2,ISTAT Censimento Popolazione per Istruzione,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,22.2,ISTAT Censimento Popolazione per Istruzione,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,15.4,ISTAT Censimento Popolazione per Istruzione,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,15.9,ISTAT Censimento Popolazione per Istruzione,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,16.7,ISTAT Censimento Popolazione per Istruzione,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,16.0,ISTAT Censimento Popolazione per Istruzione,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,16.2,ISTAT Censimento Popolazione per Istruzione,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,15.9,ISTAT Censimento Popolazione per Istruzione,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,15.4,ISTAT Censimento Popolazione per Istruzione,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,14.6,ISTAT Censimento Popolazione per Istruzione,Verificato e Certificato - Osservatorio Italienation
