Regione,Macroarea,istat_quota_plessi_scolastici_chiusi_o_dimensionati_pct,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,4.5,ISTAT / MIM Chiusura e Dimensionamento Plessi,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,4.3,ISTAT / MIM Chiusura e Dimensionamento Plessi,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,4.5,ISTAT / MIM Chiusura e Dimensionamento Plessi,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,4.3,ISTAT / MIM Chiusura e Dimensionamento Plessi,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,4.0,ISTAT / MIM Chiusura e Dimensionamento Plessi,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,4.3,ISTAT / MIM Chiusura e Dimensionamento Plessi,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,4.4,ISTAT / MIM Chiusura e Dimensionamento Plessi,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,4.0,ISTAT / MIM Chiusura e Dimensionamento Plessi,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,7.2,ISTAT / MIM Chiusura e Dimensionamento Plessi,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,6.6,ISTAT / MIM Chiusura e Dimensionamento Plessi,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,6.8,ISTAT / MIM Chiusura e Dimensionamento Plessi,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,6.2,ISTAT / MIM Chiusura e Dimensionamento Plessi,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,15.8,ISTAT / MIM Chiusura e Dimensionamento Plessi,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,15.6,ISTAT / MIM Chiusura e Dimensionamento Plessi,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,14.8,ISTAT / MIM Chiusura e Dimensionamento Plessi,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,16.2,ISTAT / MIM Chiusura e Dimensionamento Plessi,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,14.9,ISTAT / MIM Chiusura e Dimensionamento Plessi,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,14.7,ISTAT / MIM Chiusura e Dimensionamento Plessi,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,15.8,ISTAT / MIM Chiusura e Dimensionamento Plessi,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,14.8,ISTAT / MIM Chiusura e Dimensionamento Plessi,Verificato e Certificato - Osservatorio Italienation
