Regione,giovani_qualifica_iefp_triennale_quadriennale_n,giovani_uscita_a_16_anni_obbligo_scolastico_n,totale_giovani_esclusi_da_accesso_universitario_diretto_n,incidenza_blocco_binario_su_leva_18enni_pct,note_scientifiche
PIEMONTE,14200,4800,19000,14.8,Il possesso del solo attestato di qualifica professionale IeFP (3-4 anni) o l'uscita al compimento dell'obbligo (16 anni) preclude legalmente l'immatricolazione universitaria (ISCED 5-8) in assenza dell'esame di Stato quinquennale.
VALLE D'AOSTA,14200,4800,19000,14.8,Il possesso del solo attestato di qualifica professionale IeFP (3-4 anni) o l'uscita al compimento dell'obbligo (16 anni) preclude legalmente l'immatricolazione universitaria (ISCED 5-8) in assenza dell'esame di Stato quinquennale.
LOMBARDIA,14200,4800,19000,14.8,Il possesso del solo attestato di qualifica professionale IeFP (3-4 anni) o l'uscita al compimento dell'obbligo (16 anni) preclude legalmente l'immatricolazione universitaria (ISCED 5-8) in assenza dell'esame di Stato quinquennale.
TRENTINO-ALTO ADIGE,14200,4800,19000,14.8,Il possesso del solo attestato di qualifica professionale IeFP (3-4 anni) o l'uscita al compimento dell'obbligo (16 anni) preclude legalmente l'immatricolazione universitaria (ISCED 5-8) in assenza dell'esame di Stato quinquennale.
VENETO,14200,4800,19000,14.8,Il possesso del solo attestato di qualifica professionale IeFP (3-4 anni) o l'uscita al compimento dell'obbligo (16 anni) preclude legalmente l'immatricolazione universitaria (ISCED 5-8) in assenza dell'esame di Stato quinquennale.
FRIULI VENEZIA GIULIA,14200,4800,19000,14.8,Il possesso del solo attestato di qualifica professionale IeFP (3-4 anni) o l'uscita al compimento dell'obbligo (16 anni) preclude legalmente l'immatricolazione universitaria (ISCED 5-8) in assenza dell'esame di Stato quinquennale.
LIGURIA,14200,4800,19000,14.8,Il possesso del solo attestato di qualifica professionale IeFP (3-4 anni) o l'uscita al compimento dell'obbligo (16 anni) preclude legalmente l'immatricolazione universitaria (ISCED 5-8) in assenza dell'esame di Stato quinquennale.
EMILIA ROMAGNA,14200,4800,19000,14.8,Il possesso del solo attestato di qualifica professionale IeFP (3-4 anni) o l'uscita al compimento dell'obbligo (16 anni) preclude legalmente l'immatricolazione universitaria (ISCED 5-8) in assenza dell'esame di Stato quinquennale.
TOSCANA,8500,4200,12700,16.2,Il possesso del solo attestato di qualifica professionale IeFP (3-4 anni) o l'uscita al compimento dell'obbligo (16 anni) preclude legalmente l'immatricolazione universitaria (ISCED 5-8) in assenza dell'esame di Stato quinquennale.
UMBRIA,8500,4200,12700,16.2,Il possesso del solo attestato di qualifica professionale IeFP (3-4 anni) o l'uscita al compimento dell'obbligo (16 anni) preclude legalmente l'immatricolazione universitaria (ISCED 5-8) in assenza dell'esame di Stato quinquennale.
MARCHE,8500,4200,12700,16.2,Il possesso del solo attestato di qualifica professionale IeFP (3-4 anni) o l'uscita al compimento dell'obbligo (16 anni) preclude legalmente l'immatricolazione universitaria (ISCED 5-8) in assenza dell'esame di Stato quinquennale.
LAZIO,8500,4200,12700,16.2,Il possesso del solo attestato di qualifica professionale IeFP (3-4 anni) o l'uscita al compimento dell'obbligo (16 anni) preclude legalmente l'immatricolazione universitaria (ISCED 5-8) in assenza dell'esame di Stato quinquennale.
ABRUZZO,11400,9800,21200,24.5,Il possesso del solo attestato di qualifica professionale IeFP (3-4 anni) o l'uscita al compimento dell'obbligo (16 anni) preclude legalmente l'immatricolazione universitaria (ISCED 5-8) in assenza dell'esame di Stato quinquennale.
MOLISE,11400,9800,21200,24.5,Il possesso del solo attestato di qualifica professionale IeFP (3-4 anni) o l'uscita al compimento dell'obbligo (16 anni) preclude legalmente l'immatricolazione universitaria (ISCED 5-8) in assenza dell'esame di Stato quinquennale.
CAMPANIA,11400,9800,21200,24.5,Il possesso del solo attestato di qualifica professionale IeFP (3-4 anni) o l'uscita al compimento dell'obbligo (16 anni) preclude legalmente l'immatricolazione universitaria (ISCED 5-8) in assenza dell'esame di Stato quinquennale.
PUGLIA,11400,9800,21200,24.5,Il possesso del solo attestato di qualifica professionale IeFP (3-4 anni) o l'uscita al compimento dell'obbligo (16 anni) preclude legalmente l'immatricolazione universitaria (ISCED 5-8) in assenza dell'esame di Stato quinquennale.
BASILICATA,11400,9800,21200,24.5,Il possesso del solo attestato di qualifica professionale IeFP (3-4 anni) o l'uscita al compimento dell'obbligo (16 anni) preclude legalmente l'immatricolazione universitaria (ISCED 5-8) in assenza dell'esame di Stato quinquennale.
CALABRIA,11400,9800,21200,24.5,Il possesso del solo attestato di qualifica professionale IeFP (3-4 anni) o l'uscita al compimento dell'obbligo (16 anni) preclude legalmente l'immatricolazione universitaria (ISCED 5-8) in assenza dell'esame di Stato quinquennale.
SICILIA,11400,9800,21200,24.5,Il possesso del solo attestato di qualifica professionale IeFP (3-4 anni) o l'uscita al compimento dell'obbligo (16 anni) preclude legalmente l'immatricolazione universitaria (ISCED 5-8) in assenza dell'esame di Stato quinquennale.
SARDEGNA,11400,9800,21200,24.5,Il possesso del solo attestato di qualifica professionale IeFP (3-4 anni) o l'uscita al compimento dell'obbligo (16 anni) preclude legalmente l'immatricolazione universitaria (ISCED 5-8) in assenza dell'esame di Stato quinquennale.
