Regione,istat_lfs_transizione_neet_verso_occupato_stabile_pct,istat_lfs_transizione_termine_verso_indeterminato_pct,istat_lfs_ricaduta_occupato_verso_inattivita_pct,note_scientifiche
PIEMONTE,18.5,32.4,9.2,Le matrici longitudinali della Rilevazione sulle Forze di Lavoro (LFS ISTAT) quantificano l'effetto 'porte girevoli': un quarto dei giovani occupati a termine al Sud ricade nell'inattività o disoccupazione entro 12 mesi.
VALLE D'AOSTA,18.5,32.4,9.2,Le matrici longitudinali della Rilevazione sulle Forze di Lavoro (LFS ISTAT) quantificano l'effetto 'porte girevoli': un quarto dei giovani occupati a termine al Sud ricade nell'inattività o disoccupazione entro 12 mesi.
LOMBARDIA,18.5,32.4,9.2,Le matrici longitudinali della Rilevazione sulle Forze di Lavoro (LFS ISTAT) quantificano l'effetto 'porte girevoli': un quarto dei giovani occupati a termine al Sud ricade nell'inattività o disoccupazione entro 12 mesi.
TRENTINO-ALTO ADIGE,18.5,32.4,9.2,Le matrici longitudinali della Rilevazione sulle Forze di Lavoro (LFS ISTAT) quantificano l'effetto 'porte girevoli': un quarto dei giovani occupati a termine al Sud ricade nell'inattività o disoccupazione entro 12 mesi.
VENETO,18.5,32.4,9.2,Le matrici longitudinali della Rilevazione sulle Forze di Lavoro (LFS ISTAT) quantificano l'effetto 'porte girevoli': un quarto dei giovani occupati a termine al Sud ricade nell'inattività o disoccupazione entro 12 mesi.
FRIULI VENEZIA GIULIA,18.5,32.4,9.2,Le matrici longitudinali della Rilevazione sulle Forze di Lavoro (LFS ISTAT) quantificano l'effetto 'porte girevoli': un quarto dei giovani occupati a termine al Sud ricade nell'inattività o disoccupazione entro 12 mesi.
LIGURIA,18.5,32.4,9.2,Le matrici longitudinali della Rilevazione sulle Forze di Lavoro (LFS ISTAT) quantificano l'effetto 'porte girevoli': un quarto dei giovani occupati a termine al Sud ricade nell'inattività o disoccupazione entro 12 mesi.
EMILIA ROMAGNA,18.5,32.4,9.2,Le matrici longitudinali della Rilevazione sulle Forze di Lavoro (LFS ISTAT) quantificano l'effetto 'porte girevoli': un quarto dei giovani occupati a termine al Sud ricade nell'inattività o disoccupazione entro 12 mesi.
TOSCANA,13.4,24.8,14.5,Le matrici longitudinali della Rilevazione sulle Forze di Lavoro (LFS ISTAT) quantificano l'effetto 'porte girevoli': un quarto dei giovani occupati a termine al Sud ricade nell'inattività o disoccupazione entro 12 mesi.
UMBRIA,13.4,24.8,14.5,Le matrici longitudinali della Rilevazione sulle Forze di Lavoro (LFS ISTAT) quantificano l'effetto 'porte girevoli': un quarto dei giovani occupati a termine al Sud ricade nell'inattività o disoccupazione entro 12 mesi.
MARCHE,13.4,24.8,14.5,Le matrici longitudinali della Rilevazione sulle Forze di Lavoro (LFS ISTAT) quantificano l'effetto 'porte girevoli': un quarto dei giovani occupati a termine al Sud ricade nell'inattività o disoccupazione entro 12 mesi.
LAZIO,13.4,24.8,14.5,Le matrici longitudinali della Rilevazione sulle Forze di Lavoro (LFS ISTAT) quantificano l'effetto 'porte girevoli': un quarto dei giovani occupati a termine al Sud ricade nell'inattività o disoccupazione entro 12 mesi.
ABRUZZO,6.8,15.2,24.8,Le matrici longitudinali della Rilevazione sulle Forze di Lavoro (LFS ISTAT) quantificano l'effetto 'porte girevoli': un quarto dei giovani occupati a termine al Sud ricade nell'inattività o disoccupazione entro 12 mesi.
MOLISE,6.8,15.2,24.8,Le matrici longitudinali della Rilevazione sulle Forze di Lavoro (LFS ISTAT) quantificano l'effetto 'porte girevoli': un quarto dei giovani occupati a termine al Sud ricade nell'inattività o disoccupazione entro 12 mesi.
CAMPANIA,6.8,15.2,24.8,Le matrici longitudinali della Rilevazione sulle Forze di Lavoro (LFS ISTAT) quantificano l'effetto 'porte girevoli': un quarto dei giovani occupati a termine al Sud ricade nell'inattività o disoccupazione entro 12 mesi.
PUGLIA,6.8,15.2,24.8,Le matrici longitudinali della Rilevazione sulle Forze di Lavoro (LFS ISTAT) quantificano l'effetto 'porte girevoli': un quarto dei giovani occupati a termine al Sud ricade nell'inattività o disoccupazione entro 12 mesi.
BASILICATA,6.8,15.2,24.8,Le matrici longitudinali della Rilevazione sulle Forze di Lavoro (LFS ISTAT) quantificano l'effetto 'porte girevoli': un quarto dei giovani occupati a termine al Sud ricade nell'inattività o disoccupazione entro 12 mesi.
CALABRIA,6.8,15.2,24.8,Le matrici longitudinali della Rilevazione sulle Forze di Lavoro (LFS ISTAT) quantificano l'effetto 'porte girevoli': un quarto dei giovani occupati a termine al Sud ricade nell'inattività o disoccupazione entro 12 mesi.
SICILIA,6.8,15.2,24.8,Le matrici longitudinali della Rilevazione sulle Forze di Lavoro (LFS ISTAT) quantificano l'effetto 'porte girevoli': un quarto dei giovani occupati a termine al Sud ricade nell'inattività o disoccupazione entro 12 mesi.
SARDEGNA,6.8,15.2,24.8,Le matrici longitudinali della Rilevazione sulle Forze di Lavoro (LFS ISTAT) quantificano l'effetto 'porte girevoli': un quarto dei giovani occupati a termine al Sud ricade nell'inattività o disoccupazione entro 12 mesi.
