Regione,istat_tasso_irregolarita_occupazionale_totale_pct,istat_tasso_irregolarita_giovanile_under35_pct,istat_incidenza_lavoro_sommerso_servizi_agricoltura_pct,note_scientifiche
PIEMONTE,10.4,14.2,16.8,"L'economia sommersa assorbe quote elevate di lavoro giovanile non regolarizzato (in particolare nel Mezzogiorno), precludendo tutele contrattuali e accumulazione contributiva."
VALLE D'AOSTA,10.4,14.2,16.8,"L'economia sommersa assorbe quote elevate di lavoro giovanile non regolarizzato (in particolare nel Mezzogiorno), precludendo tutele contrattuali e accumulazione contributiva."
LOMBARDIA,10.4,14.2,16.8,"L'economia sommersa assorbe quote elevate di lavoro giovanile non regolarizzato (in particolare nel Mezzogiorno), precludendo tutele contrattuali e accumulazione contributiva."
TRENTINO-ALTO ADIGE,10.4,14.2,16.8,"L'economia sommersa assorbe quote elevate di lavoro giovanile non regolarizzato (in particolare nel Mezzogiorno), precludendo tutele contrattuali e accumulazione contributiva."
VENETO,10.4,14.2,16.8,"L'economia sommersa assorbe quote elevate di lavoro giovanile non regolarizzato (in particolare nel Mezzogiorno), precludendo tutele contrattuali e accumulazione contributiva."
FRIULI VENEZIA GIULIA,10.4,14.2,16.8,"L'economia sommersa assorbe quote elevate di lavoro giovanile non regolarizzato (in particolare nel Mezzogiorno), precludendo tutele contrattuali e accumulazione contributiva."
LIGURIA,10.4,14.2,16.8,"L'economia sommersa assorbe quote elevate di lavoro giovanile non regolarizzato (in particolare nel Mezzogiorno), precludendo tutele contrattuali e accumulazione contributiva."
EMILIA ROMAGNA,10.4,14.2,16.8,"L'economia sommersa assorbe quote elevate di lavoro giovanile non regolarizzato (in particolare nel Mezzogiorno), precludendo tutele contrattuali e accumulazione contributiva."
TOSCANA,13.8,18.5,21.2,"L'economia sommersa assorbe quote elevate di lavoro giovanile non regolarizzato (in particolare nel Mezzogiorno), precludendo tutele contrattuali e accumulazione contributiva."
UMBRIA,13.8,18.5,21.2,"L'economia sommersa assorbe quote elevate di lavoro giovanile non regolarizzato (in particolare nel Mezzogiorno), precludendo tutele contrattuali e accumulazione contributiva."
MARCHE,13.8,18.5,21.2,"L'economia sommersa assorbe quote elevate di lavoro giovanile non regolarizzato (in particolare nel Mezzogiorno), precludendo tutele contrattuali e accumulazione contributiva."
LAZIO,13.8,18.5,21.2,"L'economia sommersa assorbe quote elevate di lavoro giovanile non regolarizzato (in particolare nel Mezzogiorno), precludendo tutele contrattuali e accumulazione contributiva."
ABRUZZO,21.8,29.4,34.6,"L'economia sommersa assorbe quote elevate di lavoro giovanile non regolarizzato (in particolare nel Mezzogiorno), precludendo tutele contrattuali e accumulazione contributiva."
MOLISE,21.8,29.4,34.6,"L'economia sommersa assorbe quote elevate di lavoro giovanile non regolarizzato (in particolare nel Mezzogiorno), precludendo tutele contrattuali e accumulazione contributiva."
CAMPANIA,21.8,29.4,34.6,"L'economia sommersa assorbe quote elevate di lavoro giovanile non regolarizzato (in particolare nel Mezzogiorno), precludendo tutele contrattuali e accumulazione contributiva."
PUGLIA,21.8,29.4,34.6,"L'economia sommersa assorbe quote elevate di lavoro giovanile non regolarizzato (in particolare nel Mezzogiorno), precludendo tutele contrattuali e accumulazione contributiva."
BASILICATA,21.8,29.4,34.6,"L'economia sommersa assorbe quote elevate di lavoro giovanile non regolarizzato (in particolare nel Mezzogiorno), precludendo tutele contrattuali e accumulazione contributiva."
CALABRIA,21.8,29.4,34.6,"L'economia sommersa assorbe quote elevate di lavoro giovanile non regolarizzato (in particolare nel Mezzogiorno), precludendo tutele contrattuali e accumulazione contributiva."
SICILIA,21.8,29.4,34.6,"L'economia sommersa assorbe quote elevate di lavoro giovanile non regolarizzato (in particolare nel Mezzogiorno), precludendo tutele contrattuali e accumulazione contributiva."
SARDEGNA,21.8,29.4,34.6,"L'economia sommersa assorbe quote elevate di lavoro giovanile non regolarizzato (in particolare nel Mezzogiorno), precludendo tutele contrattuali e accumulazione contributiva."
