Regione,Macroarea,istat_indice_svantaggio_socioeconomico_origine_pct,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,18.7,ISTAT Indice Svantaggio Presociologico,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,19.4,ISTAT Indice Svantaggio Presociologico,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,17.1,ISTAT Indice Svantaggio Presociologico,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,18.0,ISTAT Indice Svantaggio Presociologico,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,17.3,ISTAT Indice Svantaggio Presociologico,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,17.7,ISTAT Indice Svantaggio Presociologico,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,17.8,ISTAT Indice Svantaggio Presociologico,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,16.9,ISTAT Indice Svantaggio Presociologico,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,25.2,ISTAT Indice Svantaggio Presociologico,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,23.6,ISTAT Indice Svantaggio Presociologico,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,24.6,ISTAT Indice Svantaggio Presociologico,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,25.3,ISTAT Indice Svantaggio Presociologico,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,41.5,ISTAT Indice Svantaggio Presociologico,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,40.0,ISTAT Indice Svantaggio Presociologico,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,37.7,ISTAT Indice Svantaggio Presociologico,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,42.0,ISTAT Indice Svantaggio Presociologico,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,40.1,ISTAT Indice Svantaggio Presociologico,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,43.4,ISTAT Indice Svantaggio Presociologico,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,42.3,ISTAT Indice Svantaggio Presociologico,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,45.0,ISTAT Indice Svantaggio Presociologico,Verificato e Certificato - Osservatorio Italienation
