Regione,Macroarea,istat_quota_studenti_ricorso_ripetizioni_private_pct,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,21.1,ISTAT / SHIW Ripetizioni Private,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,22.3,ISTAT / SHIW Ripetizioni Private,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,24.4,ISTAT / SHIW Ripetizioni Private,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,21.8,ISTAT / SHIW Ripetizioni Private,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,20.9,ISTAT / SHIW Ripetizioni Private,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,23.2,ISTAT / SHIW Ripetizioni Private,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,20.8,ISTAT / SHIW Ripetizioni Private,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,22.4,ISTAT / SHIW Ripetizioni Private,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,28.6,ISTAT / SHIW Ripetizioni Private,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,28.6,ISTAT / SHIW Ripetizioni Private,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,29.0,ISTAT / SHIW Ripetizioni Private,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,27.0,ISTAT / SHIW Ripetizioni Private,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,35.2,ISTAT / SHIW Ripetizioni Private,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,34.0,ISTAT / SHIW Ripetizioni Private,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,34.8,ISTAT / SHIW Ripetizioni Private,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,35.8,ISTAT / SHIW Ripetizioni Private,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,34.4,ISTAT / SHIW Ripetizioni Private,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,34.6,ISTAT / SHIW Ripetizioni Private,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,34.7,ISTAT / SHIW Ripetizioni Private,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,37.1,ISTAT / SHIW Ripetizioni Private,Verificato e Certificato - Osservatorio Italienation
