Regione,Macroarea,istat_eu_silc_tasso_arope_poverta_giovanile_15_29_pct,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,16.1,ISTAT EU-SILC Povertà Giovanile AROPE,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,15.8,ISTAT EU-SILC Povertà Giovanile AROPE,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,16.8,ISTAT EU-SILC Povertà Giovanile AROPE,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,15.8,ISTAT EU-SILC Povertà Giovanile AROPE,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,17.0,ISTAT EU-SILC Povertà Giovanile AROPE,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,15.9,ISTAT EU-SILC Povertà Giovanile AROPE,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,17.3,ISTAT EU-SILC Povertà Giovanile AROPE,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,16.6,ISTAT EU-SILC Povertà Giovanile AROPE,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,20.9,ISTAT EU-SILC Povertà Giovanile AROPE,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,23.4,ISTAT EU-SILC Povertà Giovanile AROPE,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,20.6,ISTAT EU-SILC Povertà Giovanile AROPE,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,21.5,ISTAT EU-SILC Povertà Giovanile AROPE,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,36.7,ISTAT EU-SILC Povertà Giovanile AROPE,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,38.1,ISTAT EU-SILC Povertà Giovanile AROPE,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,33.4,ISTAT EU-SILC Povertà Giovanile AROPE,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,35.6,ISTAT EU-SILC Povertà Giovanile AROPE,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,36.7,ISTAT EU-SILC Povertà Giovanile AROPE,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,36.2,ISTAT EU-SILC Povertà Giovanile AROPE,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,40.1,ISTAT EU-SILC Povertà Giovanile AROPE,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,37.8,ISTAT EU-SILC Povertà Giovanile AROPE,Verificato e Certificato - Osservatorio Italienation
