year,sector,sector_label,isced11,level_label,nominal_million_eur,nominal_eur,series_group,cpi_index,real_base_year_eur,real_base_year,per_student_eur,population_reference,source_file,note,academic_year,aggregation_label,avg_tuition_all_students_eur,avg_tuition_payers_eur
2013,PRIV,Private institutions,ED02-8,Pre-primary to tertiary education,3700.6,3700600000.0,eurostat_level_history,107.198618335037,4203655636.913298,2022,,,educ_uoe_fini01$defaultview_linear_2_0.csv,Historical institution expenditure by level and sector from Eurostat UOE,,,,
2013,PUBL,Public institutions,ED02-8,Pre-primary to tertiary education,68275.1,68275100000.00001,eurostat_level_history,107.198618335037,77556344640.27974,2022,,,educ_uoe_fini01$defaultview_linear_2_0.csv,Historical institution expenditure by level and sector from Eurostat UOE,,,,
2013,TOT_SEC,Total,ED02-8,Pre-primary to tertiary education,71975.7,71975700000.0,eurostat_level_history,107.198618335037,81760000277.19302,2022,,,educ_uoe_fini01$defaultview_linear_2_0.csv,Historical institution expenditure by level and sector from Eurostat UOE,,,,
2014,PRIV,Private institutions,ED02-8,Pre-primary to tertiary education,5560.4,5560400000.0,eurostat_level_history,107.457017849343,6301086268.7864685,2022,,,educ_uoe_fini01$defaultview_linear_2_0.csv,Historical institution expenditure by level and sector from Eurostat UOE,,,,
2014,PUBL,Public institutions,ED02-8,Pre-primary to tertiary education,67433.9,67433899999.99999,eurostat_level_history,107.457017849343,76416592572.60625,2022,,,educ_uoe_fini01$defaultview_linear_2_0.csv,Historical institution expenditure by level and sector from Eurostat UOE,,,,
2014,TOT_SEC,Total,ED02-8,Pre-primary to tertiary education,72994.3,72994300000.0,eurostat_level_history,107.457017849343,82717678841.39272,2022,,,educ_uoe_fini01$defaultview_linear_2_0.csv,Historical institution expenditure by level and sector from Eurostat UOE,,,,
2015,PRIV,Private institutions,ED02-8,Pre-primary to tertiary education,5546.4,5546400000.0,eurostat_level_history,107.498700856028,6282784248.465051,2022,,,educ_uoe_fini01$defaultview_linear_2_0.csv,Historical institution expenditure by level and sector from Eurostat UOE,,,,
2015,PUBL,Public institutions,ED02-8,Pre-primary to tertiary education,68419.0,68419000000.0,eurostat_level_history,107.498700856028,77502851488.48448,2022,,,educ_uoe_fini01$defaultview_linear_2_0.csv,Historical institution expenditure by level and sector from Eurostat UOE,,,,
2015,TOT_SEC,Total,ED02-8,Pre-primary to tertiary education,73965.4,73965400000.0,eurostat_level_history,107.498700856028,83785635736.94952,2022,,,educ_uoe_fini01$defaultview_linear_2_0.csv,Historical institution expenditure by level and sector from Eurostat UOE,,,,
2016,PRIV,Private institutions,ED02-8,Pre-primary to tertiary education,4796.3,4796300000.0,eurostat_level_history,107.397634171255,5438207818.105978,2022,,,educ_uoe_fini01$defaultview_linear_2_0.csv,Historical institution expenditure by level and sector from Eurostat UOE,,,,
2016,PUBL,Public institutions,ED02-8,Pre-primary to tertiary education,64930.3,64930300000.0,eurostat_level_history,107.397634171255,73620179115.56128,2022,,,educ_uoe_fini01$defaultview_linear_2_0.csv,Historical institution expenditure by level and sector from Eurostat UOE,,,,
2016,TOT_SEC,Total,ED02-8,Pre-primary to tertiary education,69726.5,69726500000.0,eurostat_level_history,107.397634171255,79058273550.27135,2022,,,educ_uoe_fini01$defaultview_linear_2_0.csv,Historical institution expenditure by level and sector from Eurostat UOE,,,,
2017,PRIV,Private institutions,ED02-8,Pre-primary to tertiary education,5274.3,5274300000.0,eurostat_level_history,108.714901774357,5907720301.681503,2022,,,educ_uoe_fini01$defaultview_linear_2_0.csv,Historical institution expenditure by level and sector from Eurostat UOE,,,,
2017,PUBL,Public institutions,ED02-8,Pre-primary to tertiary education,70772.8,70772800000.0,eurostat_level_history,108.714901774357,79272302934.38838,2022,,,educ_uoe_fini01$defaultview_linear_2_0.csv,Historical institution expenditure by level and sector from Eurostat UOE,,,,
2017,TOT_SEC,Total,ED02-8,Pre-primary to tertiary education,76047.2,76047200000.0,eurostat_level_history,108.714901774357,85180135245.63138,2022,,,educ_uoe_fini01$defaultview_linear_2_0.csv,Historical institution expenditure by level and sector from Eurostat UOE,,,,
2018,PRIV,Private institutions,ED02-8,Pre-primary to tertiary education,5358.9,5358900000.0,eurostat_level_history,109.951520340534,5934970831.295851,2022,,,educ_uoe_fini01$defaultview_linear_2_0.csv,Historical institution expenditure by level and sector from Eurostat UOE,,,,
2018,PUBL,Public institutions,ED02-8,Pre-primary to tertiary education,74289.1,74289100000.0,eurostat_level_history,109.951520340534,82275026886.71568,2022,,,educ_uoe_fini01$defaultview_linear_2_0.csv,Historical institution expenditure by level and sector from Eurostat UOE,,,,
