region_name,school_students_total,students_primary,students_lower_secondary,students_upper_secondary,estimated_disabled_students_total,estimated_bes_students_total,neet_region_code,neet_count_15_29_thousands,neet_risk_index,neet_percentile,covid_period,lower_secondary_disabled_per_1000,lower_secondary_students_per_class,upper_secondary_repeaters_pct,dsu_applications_total,dsu_eligible_students_total,dsu_grant_beneficiaries_total,dsu_grant_spend_eur,dsu_total_spend_eur,dsu_meals_total,dsu_meal_students_total,dsu_spend_per_eligible_eur,dsu_spend_per_beneficiary_eur,estimated_disabled_share_pct,estimated_bes_share_pct,funding_proxy_scope
Abruzzo,138108,49500,33024,55584,6009.0,11036.0,ITF1,31.179,-0.5673574413533097,0.4583333333333333,recovery,59.4,19.3,5.4,10334.0,6756.0,16315.0,51241830.11,53004407.92999999,537093.0,11739.0,7845.531073120188,3248.8144609255282,4.350942740463984,7.99084774234657,"Regional funding proxy covers tertiary DSU/ERSU support, not whole school-system expenditure"
Basilicata,57945,19435,12764,25746,2479.0,3490.0,ITF5,13.822,-0.8048992695900863,0.2916666666666667,recovery,36.9,16.2,4.1,1619.0,1471.0,3250.0,5754418.53,5840552.57,85736.0,3815.0,3970.4640176750513,1797.0930984615386,4.278194839934421,6.022952800069031,"Regional funding proxy covers tertiary DSU/ERSU support, not whole school-system expenditure"
Calabria,215293,76503,48988,89802,9314.0,8841.0,ITF6,74.717,0.0284883913235801,0.7083333333333334,recovery,49.0,16.8,5.4,19721.0,15190.0,36058.0,101124639.99,105995157.17,885270.0,23155.0,6977.9563640553,2939.5739411503687,4.326197321789375,4.106496727715253,"Regional funding proxy covers tertiary DSU/ERSU support, not whole school-system expenditure"
Campania,731294,249810,162995,318489,31400.0,30444.0,ITF3,236.987,2.249258827918714,1.0,recovery,54.5,17.9,5.6,72442.0,49111.0,119130.0,206333168.58881,206601334.42881,1365982.0,15352.0,4206.824019645497,1734.2511074356585,4.293758734517171,4.163031557759259,"Regional funding proxy covers tertiary DSU/ERSU support, not whole school-system expenditure"
Emilia-Romagna,502534,178246,120957,203331,21849.0,0.0,ITD5,60.848,-0.161317889474706,0.625,recovery,46.7,22.1,6.6,42102.0,29554.0,67495.0,162063729.75,166409231.75,1565045.0,0.0,5630.683892197334,2465.5045818208755,4.347765524322733,0.0,"Regional funding proxy covers tertiary DSU/ERSU support, not whole school-system expenditure"
Friuli-Venezia Giulia,122098,43200,29952,48946,5316.0,0.0,ITD4,17.537,-0.7540570795860749,0.3333333333333333,recovery,45.1,19.7,5.9,11744.0,7525.0,17873.0,44867089.0,45353519.0,743702.0,12287.0,6027.045714285714,2537.5437251720473,4.353879670428673,0.0,"Regional funding proxy covers tertiary DSU/ERSU support, not whole school-system expenditure"
Lazio,645393,229262,156009,260122,28076.0,65591.0,ITE4,124.845,0.7145226579510582,0.75,recovery,56.3,20.7,4.5,72082.0,40287.0,90022.0,194596913.17,215843117.86,1073203.0,50816.0,5357.636901730087,2397.6707678123125,4.350217619342013,10.16295497472083,"Regional funding proxy covers tertiary DSU/ERSU support, not whole school-system expenditure"
Liguria,150581,52870,36451,61260,6541.0,19818.0,ITC3,24.984,-0.6521400435268898,0.4166666666666667,recovery,61.2,21.1,6.5,6733.0,6135.0,13510.0,16904414.11,18685415.52,261732.0,5740.0,3045.7075012224936,1383.0803493708363,4.343841520510556,13.16102297102556,"Regional funding proxy covers tertiary DSU/ERSU support, not whole school-system expenditure"
Lombardia,1107414,416284,280223,410907,48801.0,140548.0,ITC4,150.13,1.060564319929908,0.8333333333333334,recovery,68.2,21.1,5.9,61185.0,37778.0,80849.0,150608458.8,160743085.39,3886089.0,52230.0,4254.938995976494,1988.1889125406622,4.406753030032129,12.691549863014192,"Regional funding proxy covers tertiary DSU/ERSU support, not whole school-system expenditure"
Marche,169521,57253,39860,72408,7302.0,16264.0,ITE3,22.643,-0.6841781503369546,0.375,recovery,45.9,20.7,5.0,16280.0,7064.0,18350.0,47057502.8,47288248.92,990146.0,12755.0,6694.259473386183,2577.016289918256,4.307430937759923,9.594091587472938,"Regional funding proxy covers tertiary DSU/ERSU support, not whole school-system expenditure"
Molise,29344,10132,6638,12574,1264.0,1975.0,ITF2,7.931,-0.8855214341428806,0.1666666666666666,recovery,50.3,16.4,3.9,1253.0,1253.0,2957.0,8678088.54,8678088.54,8222.0,0.0,6925.8487948922575,2934.7610889414946,4.307524536532171,6.730507088331515,"Regional funding proxy covers tertiary DSU/ERSU support, not whole school-system expenditure"
Piemonte,451341,161771,112142,177428,19712.0,54029.0,ITC1,58.861,-0.1885112761605663,0.5833333333333334,recovery,50.0,20.3,5.6,36983.0,25184.0,58557.0,139432301.38500002,143400356.60500002,1046395.0,23699.0,5694.105646640725,2448.9020374165348,4.367429504520972,11.97077154523963,"Regional funding proxy covers tertiary DSU/ERSU support, not whole school-system expenditure"
Puglia,446228,154069,103814,188345,19264.0,23890.0,ITF4,131.192,0.8013854789350313,0.7916666666666666,recovery,52.8,19.8,5.2,29319.0,23107.0,55483.0,171006169.75,171006169.75,858139.0,16031.0,7400.621878651491,3082.1363255411566,4.317075575714657,5.353765339691817,"Regional funding proxy covers tertiary DSU/ERSU support, not whole school-system expenditure"
Sardegna,156391,52044,36968,67379,6726.0,15763.0,ITG2,36.95,-0.4883775548087203,0.5,recovery,66.6,16.9,9.3,14004.0,10989.0,24864.0,67477741.34,72686645.13,562529.0,10650.0,6614.491321321321,2923.3689321911197,4.3007589950828375,10.079224507804158,"Regional funding proxy covers tertiary DSU/ERSU support, not whole school-system expenditure"
