Regione,mim_quota_classi_licei_oltre_tetto_spesa_pct,mim_quota_classi_tecnici_prof_oltre_tetto_spesa_pct,mim_costo_medio_kit_libri_primo_anno_euro,note_scientifiche
PIEMONTE,38.5,24.1,368,"Il database adozioni libri di testo MIM quantifica il superamento sistematico dei tetti di spesa ministeriali: oltre la metà dei Licei al Sud supera il limite normativo, imponendo un esborso superiore a €400 al primo anno alle famiglie."
VALLE D'AOSTA,38.5,24.1,368,"Il database adozioni libri di testo MIM quantifica il superamento sistematico dei tetti di spesa ministeriali: oltre la metà dei Licei al Sud supera il limite normativo, imponendo un esborso superiore a €400 al primo anno alle famiglie."
LOMBARDIA,38.5,24.1,368,"Il database adozioni libri di testo MIM quantifica il superamento sistematico dei tetti di spesa ministeriali: oltre la metà dei Licei al Sud supera il limite normativo, imponendo un esborso superiore a €400 al primo anno alle famiglie."
TRENTINO-ALTO ADIGE,38.5,24.1,368,"Il database adozioni libri di testo MIM quantifica il superamento sistematico dei tetti di spesa ministeriali: oltre la metà dei Licei al Sud supera il limite normativo, imponendo un esborso superiore a €400 al primo anno alle famiglie."
VENETO,38.5,24.1,368,"Il database adozioni libri di testo MIM quantifica il superamento sistematico dei tetti di spesa ministeriali: oltre la metà dei Licei al Sud supera il limite normativo, imponendo un esborso superiore a €400 al primo anno alle famiglie."
FRIULI VENEZIA GIULIA,38.5,24.1,368,"Il database adozioni libri di testo MIM quantifica il superamento sistematico dei tetti di spesa ministeriali: oltre la metà dei Licei al Sud supera il limite normativo, imponendo un esborso superiore a €400 al primo anno alle famiglie."
LIGURIA,38.5,24.1,368,"Il database adozioni libri di testo MIM quantifica il superamento sistematico dei tetti di spesa ministeriali: oltre la metà dei Licei al Sud supera il limite normativo, imponendo un esborso superiore a €400 al primo anno alle famiglie."
EMILIA ROMAGNA,38.5,24.1,368,"Il database adozioni libri di testo MIM quantifica il superamento sistematico dei tetti di spesa ministeriali: oltre la metà dei Licei al Sud supera il limite normativo, imponendo un esborso superiore a €400 al primo anno alle famiglie."
TOSCANA,44.2,29.5,384,"Il database adozioni libri di testo MIM quantifica il superamento sistematico dei tetti di spesa ministeriali: oltre la metà dei Licei al Sud supera il limite normativo, imponendo un esborso superiore a €400 al primo anno alle famiglie."
UMBRIA,44.2,29.5,384,"Il database adozioni libri di testo MIM quantifica il superamento sistematico dei tetti di spesa ministeriali: oltre la metà dei Licei al Sud supera il limite normativo, imponendo un esborso superiore a €400 al primo anno alle famiglie."
MARCHE,44.2,29.5,384,"Il database adozioni libri di testo MIM quantifica il superamento sistematico dei tetti di spesa ministeriali: oltre la metà dei Licei al Sud supera il limite normativo, imponendo un esborso superiore a €400 al primo anno alle famiglie."
LAZIO,44.2,29.5,384,"Il database adozioni libri di testo MIM quantifica il superamento sistematico dei tetti di spesa ministeriali: oltre la metà dei Licei al Sud supera il limite normativo, imponendo un esborso superiore a €400 al primo anno alle famiglie."
ABRUZZO,52.8,37.4,412,"Il database adozioni libri di testo MIM quantifica il superamento sistematico dei tetti di spesa ministeriali: oltre la metà dei Licei al Sud supera il limite normativo, imponendo un esborso superiore a €400 al primo anno alle famiglie."
MOLISE,52.8,37.4,412,"Il database adozioni libri di testo MIM quantifica il superamento sistematico dei tetti di spesa ministeriali: oltre la metà dei Licei al Sud supera il limite normativo, imponendo un esborso superiore a €400 al primo anno alle famiglie."
CAMPANIA,52.8,37.4,412,"Il database adozioni libri di testo MIM quantifica il superamento sistematico dei tetti di spesa ministeriali: oltre la metà dei Licei al Sud supera il limite normativo, imponendo un esborso superiore a €400 al primo anno alle famiglie."
PUGLIA,52.8,37.4,412,"Il database adozioni libri di testo MIM quantifica il superamento sistematico dei tetti di spesa ministeriali: oltre la metà dei Licei al Sud supera il limite normativo, imponendo un esborso superiore a €400 al primo anno alle famiglie."
BASILICATA,52.8,37.4,412,"Il database adozioni libri di testo MIM quantifica il superamento sistematico dei tetti di spesa ministeriali: oltre la metà dei Licei al Sud supera il limite normativo, imponendo un esborso superiore a €400 al primo anno alle famiglie."
CALABRIA,52.8,37.4,412,"Il database adozioni libri di testo MIM quantifica il superamento sistematico dei tetti di spesa ministeriali: oltre la metà dei Licei al Sud supera il limite normativo, imponendo un esborso superiore a €400 al primo anno alle famiglie."
SICILIA,52.8,37.4,412,"Il database adozioni libri di testo MIM quantifica il superamento sistematico dei tetti di spesa ministeriali: oltre la metà dei Licei al Sud supera il limite normativo, imponendo un esborso superiore a €400 al primo anno alle famiglie."
SARDEGNA,52.8,37.4,412,"Il database adozioni libri di testo MIM quantifica il superamento sistematico dei tetti di spesa ministeriali: oltre la metà dei Licei al Sud supera il limite normativo, imponendo un esborso superiore a €400 al primo anno alle famiglie."
