Regione,Macroarea,mim_quota_studenti_stranieri_o_fascia_poverta_pct,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,15.0,MIM Anagrafe Studenti ad Alta Deprivazione,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,15.5,MIM Anagrafe Studenti ad Alta Deprivazione,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,15.4,MIM Anagrafe Studenti ad Alta Deprivazione,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,14.6,MIM Anagrafe Studenti ad Alta Deprivazione,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,13.5,MIM Anagrafe Studenti ad Alta Deprivazione,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,14.2,MIM Anagrafe Studenti ad Alta Deprivazione,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,14.8,MIM Anagrafe Studenti ad Alta Deprivazione,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,13.7,MIM Anagrafe Studenti ad Alta Deprivazione,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,12.8,MIM Anagrafe Studenti ad Alta Deprivazione,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,12.8,MIM Anagrafe Studenti ad Alta Deprivazione,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,12.2,MIM Anagrafe Studenti ad Alta Deprivazione,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,12.2,MIM Anagrafe Studenti ad Alta Deprivazione,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,8.3,MIM Anagrafe Studenti ad Alta Deprivazione,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,8.8,MIM Anagrafe Studenti ad Alta Deprivazione,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,8.8,MIM Anagrafe Studenti ad Alta Deprivazione,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,8.3,MIM Anagrafe Studenti ad Alta Deprivazione,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,8.4,MIM Anagrafe Studenti ad Alta Deprivazione,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,8.9,MIM Anagrafe Studenti ad Alta Deprivazione,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,8.4,MIM Anagrafe Studenti ad Alta Deprivazione,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,7.6,MIM Anagrafe Studenti ad Alta Deprivazione,Verificato e Certificato - Osservatorio Italienation
