Regione,Macroarea,mim_quota_docenti_supplenti_o_precari_sostegno_pct,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,18.2,MIM Precariato e Turnover Docenti di Sostegno,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,19.7,MIM Precariato e Turnover Docenti di Sostegno,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,18.0,MIM Precariato e Turnover Docenti di Sostegno,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,17.4,MIM Precariato e Turnover Docenti di Sostegno,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,19.5,MIM Precariato e Turnover Docenti di Sostegno,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,18.9,MIM Precariato e Turnover Docenti di Sostegno,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,18.2,MIM Precariato e Turnover Docenti di Sostegno,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,18.9,MIM Precariato e Turnover Docenti di Sostegno,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,24.0,MIM Precariato e Turnover Docenti di Sostegno,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,23.1,MIM Precariato e Turnover Docenti di Sostegno,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,23.0,MIM Precariato e Turnover Docenti di Sostegno,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,23.3,MIM Precariato e Turnover Docenti di Sostegno,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,28.6,MIM Precariato e Turnover Docenti di Sostegno,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,30.9,MIM Precariato e Turnover Docenti di Sostegno,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,30.3,MIM Precariato e Turnover Docenti di Sostegno,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,28.6,MIM Precariato e Turnover Docenti di Sostegno,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,29.9,MIM Precariato e Turnover Docenti di Sostegno,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,31.7,MIM Precariato e Turnover Docenti di Sostegno,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,32.9,MIM Precariato e Turnover Docenti di Sostegno,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,31.3,MIM Precariato e Turnover Docenti di Sostegno,Verificato e Certificato - Osservatorio Italienation
