Regione,Macroarea,mur_ans_tasso_passaggio_1to2_anno_regolare_pct,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,81.1,MUR USTAT Anagrafe Nazionale Studenti,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,78.0,MUR USTAT Anagrafe Nazionale Studenti,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,82.4,MUR USTAT Anagrafe Nazionale Studenti,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,78.7,MUR USTAT Anagrafe Nazionale Studenti,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,80.2,MUR USTAT Anagrafe Nazionale Studenti,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,82.5,MUR USTAT Anagrafe Nazionale Studenti,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,80.6,MUR USTAT Anagrafe Nazionale Studenti,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,80.4,MUR USTAT Anagrafe Nazionale Studenti,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,83.3,MUR USTAT Anagrafe Nazionale Studenti,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,85.7,MUR USTAT Anagrafe Nazionale Studenti,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,74.7,MUR USTAT Anagrafe Nazionale Studenti,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,81.5,MUR USTAT Anagrafe Nazionale Studenti,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,70.1,MUR USTAT Anagrafe Nazionale Studenti,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,64.0,MUR USTAT Anagrafe Nazionale Studenti,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,67.2,MUR USTAT Anagrafe Nazionale Studenti,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,66.9,MUR USTAT Anagrafe Nazionale Studenti,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,66.5,MUR USTAT Anagrafe Nazionale Studenti,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,67.0,MUR USTAT Anagrafe Nazionale Studenti,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,66.3,MUR USTAT Anagrafe Nazionale Studenti,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,69.8,MUR USTAT Anagrafe Nazionale Studenti,Verificato e Certificato - Osservatorio Italienation
