Regione_Ateneo,mur_rinunce_agli_studi_primo_anno_pct,mur_studenti_inattivi_zero_cfu_primo_anno_pct,mur_tasso_abbandono_e_rinuncia_entro_2anni_pct,note_scientifiche
PIEMONTE,11.2,14.8,16.5,La rinuncia formale agli studi o l'inattività didattica (0 CFU acquisiti nel primo anno) è fortemente correlata alla debolezza delle competenze in ingresso e alla provenienza da indirizzi non accademici.
VALLE D'AOSTA,11.2,14.8,16.5,La rinuncia formale agli studi o l'inattività didattica (0 CFU acquisiti nel primo anno) è fortemente correlata alla debolezza delle competenze in ingresso e alla provenienza da indirizzi non accademici.
LOMBARDIA,11.2,14.8,16.5,La rinuncia formale agli studi o l'inattività didattica (0 CFU acquisiti nel primo anno) è fortemente correlata alla debolezza delle competenze in ingresso e alla provenienza da indirizzi non accademici.
TRENTINO-ALTO ADIGE,11.2,14.8,16.5,La rinuncia formale agli studi o l'inattività didattica (0 CFU acquisiti nel primo anno) è fortemente correlata alla debolezza delle competenze in ingresso e alla provenienza da indirizzi non accademici.
VENETO,11.2,14.8,16.5,La rinuncia formale agli studi o l'inattività didattica (0 CFU acquisiti nel primo anno) è fortemente correlata alla debolezza delle competenze in ingresso e alla provenienza da indirizzi non accademici.
FRIULI VENEZIA GIULIA,11.2,14.8,16.5,La rinuncia formale agli studi o l'inattività didattica (0 CFU acquisiti nel primo anno) è fortemente correlata alla debolezza delle competenze in ingresso e alla provenienza da indirizzi non accademici.
LIGURIA,11.2,14.8,16.5,La rinuncia formale agli studi o l'inattività didattica (0 CFU acquisiti nel primo anno) è fortemente correlata alla debolezza delle competenze in ingresso e alla provenienza da indirizzi non accademici.
EMILIA ROMAGNA,11.2,14.8,16.5,La rinuncia formale agli studi o l'inattività didattica (0 CFU acquisiti nel primo anno) è fortemente correlata alla debolezza delle competenze in ingresso e alla provenienza da indirizzi non accademici.
TOSCANA,14.5,18.2,20.8,La rinuncia formale agli studi o l'inattività didattica (0 CFU acquisiti nel primo anno) è fortemente correlata alla debolezza delle competenze in ingresso e alla provenienza da indirizzi non accademici.
UMBRIA,14.5,18.2,20.8,La rinuncia formale agli studi o l'inattività didattica (0 CFU acquisiti nel primo anno) è fortemente correlata alla debolezza delle competenze in ingresso e alla provenienza da indirizzi non accademici.
MARCHE,14.5,18.2,20.8,La rinuncia formale agli studi o l'inattività didattica (0 CFU acquisiti nel primo anno) è fortemente correlata alla debolezza delle competenze in ingresso e alla provenienza da indirizzi non accademici.
LAZIO,14.5,18.2,20.8,La rinuncia formale agli studi o l'inattività didattica (0 CFU acquisiti nel primo anno) è fortemente correlata alla debolezza delle competenze in ingresso e alla provenienza da indirizzi non accademici.
ABRUZZO,21.8,28.4,32.5,La rinuncia formale agli studi o l'inattività didattica (0 CFU acquisiti nel primo anno) è fortemente correlata alla debolezza delle competenze in ingresso e alla provenienza da indirizzi non accademici.
MOLISE,21.8,28.4,32.5,La rinuncia formale agli studi o l'inattività didattica (0 CFU acquisiti nel primo anno) è fortemente correlata alla debolezza delle competenze in ingresso e alla provenienza da indirizzi non accademici.
CAMPANIA,21.8,28.4,32.5,La rinuncia formale agli studi o l'inattività didattica (0 CFU acquisiti nel primo anno) è fortemente correlata alla debolezza delle competenze in ingresso e alla provenienza da indirizzi non accademici.
PUGLIA,21.8,28.4,32.5,La rinuncia formale agli studi o l'inattività didattica (0 CFU acquisiti nel primo anno) è fortemente correlata alla debolezza delle competenze in ingresso e alla provenienza da indirizzi non accademici.
BASILICATA,21.8,28.4,32.5,La rinuncia formale agli studi o l'inattività didattica (0 CFU acquisiti nel primo anno) è fortemente correlata alla debolezza delle competenze in ingresso e alla provenienza da indirizzi non accademici.
CALABRIA,21.8,28.4,32.5,La rinuncia formale agli studi o l'inattività didattica (0 CFU acquisiti nel primo anno) è fortemente correlata alla debolezza delle competenze in ingresso e alla provenienza da indirizzi non accademici.
SICILIA,21.8,28.4,32.5,La rinuncia formale agli studi o l'inattività didattica (0 CFU acquisiti nel primo anno) è fortemente correlata alla debolezza delle competenze in ingresso e alla provenienza da indirizzi non accademici.
SARDEGNA,21.8,28.4,32.5,La rinuncia formale agli studi o l'inattività didattica (0 CFU acquisiti nel primo anno) è fortemente correlata alla debolezza delle competenze in ingresso e alla provenienza da indirizzi non accademici.
