Regione,Macroarea,mur_cineca_dropout_universitario_1anno_provenienza_licei_pct,mur_cineca_dropout_universitario_1anno_provenienza_tecnici_prof_pct,mur_ustat_quota_studenti_iscritti_fuoricorso_pct,fonte_istituzionale,note_scientifiche
PIEMONTE,Nord-Ovest,8.9,24.9,28.4,MUR USTAT Anagrafe Nazionale Studenti ANS / CINECA Dati Carriere Universitarie,Dimostra come l'imbuto tripartito a 14 anni continui a produrre dispersione accademica anche dopo l'immatricolazione.
VALLE D'AOSTA,Nord-Ovest,9.7,27.2,29.0,MUR USTAT Anagrafe Nazionale Studenti ANS / CINECA Dati Carriere Universitarie,Dimostra come l'imbuto tripartito a 14 anni continui a produrre dispersione accademica anche dopo l'immatricolazione.
LOMBARDIA,Nord-Ovest,8.5,23.8,29.7,MUR USTAT Anagrafe Nazionale Studenti ANS / CINECA Dati Carriere Universitarie,Dimostra come l'imbuto tripartito a 14 anni continui a produrre dispersione accademica anche dopo l'immatricolazione.
TRENTINO-ALTO ADIGE,Nord-Est,9.2,25.8,26.2,MUR USTAT Anagrafe Nazionale Studenti ANS / CINECA Dati Carriere Universitarie,Dimostra come l'imbuto tripartito a 14 anni continui a produrre dispersione accademica anche dopo l'immatricolazione.
VENETO,Nord-Est,8.6,24.1,30.2,MUR USTAT Anagrafe Nazionale Studenti ANS / CINECA Dati Carriere Universitarie,Dimostra come l'imbuto tripartito a 14 anni continui a produrre dispersione accademica anche dopo l'immatricolazione.
FRIULI-VENEZIA GIULIA,Nord-Est,9.8,27.4,29.4,MUR USTAT Anagrafe Nazionale Studenti ANS / CINECA Dati Carriere Universitarie,Dimostra come l'imbuto tripartito a 14 anni continui a produrre dispersione accademica anche dopo l'immatricolazione.
LIGURIA,Nord-Ovest,8.9,24.9,26.2,MUR USTAT Anagrafe Nazionale Studenti ANS / CINECA Dati Carriere Universitarie,Dimostra come l'imbuto tripartito a 14 anni continui a produrre dispersione accademica anche dopo l'immatricolazione.
EMILIA-ROMAGNA,Nord-Est,9.9,27.7,30.8,MUR USTAT Anagrafe Nazionale Studenti ANS / CINECA Dati Carriere Universitarie,Dimostra come l'imbuto tripartito a 14 anni continui a produrre dispersione accademica anche dopo l'immatricolazione.
TOSCANA,Centro,11.3,31.6,33.3,MUR USTAT Anagrafe Nazionale Studenti ANS / CINECA Dati Carriere Universitarie,Dimostra come l'imbuto tripartito a 14 anni continui a produrre dispersione accademica anche dopo l'immatricolazione.
UMBRIA,Centro,11.9,33.3,34.0,MUR USTAT Anagrafe Nazionale Studenti ANS / CINECA Dati Carriere Universitarie,Dimostra come l'imbuto tripartito a 14 anni continui a produrre dispersione accademica anche dopo l'immatricolazione.
MARCHE,Centro,10.3,28.8,32.9,MUR USTAT Anagrafe Nazionale Studenti ANS / CINECA Dati Carriere Universitarie,Dimostra come l'imbuto tripartito a 14 anni continui a produrre dispersione accademica anche dopo l'immatricolazione.
LAZIO,Centro,11.3,31.6,31.1,MUR USTAT Anagrafe Nazionale Studenti ANS / CINECA Dati Carriere Universitarie,Dimostra come l'imbuto tripartito a 14 anni continui a produrre dispersione accademica anche dopo l'immatricolazione.
ABRUZZO,Sud,13.3,37.2,41.9,MUR USTAT Anagrafe Nazionale Studenti ANS / CINECA Dati Carriere Universitarie,Dimostra come l'imbuto tripartito a 14 anni continui a produrre dispersione accademica anche dopo l'immatricolazione.
MOLISE,Sud,12.5,35.0,45.0,MUR USTAT Anagrafe Nazionale Studenti ANS / CINECA Dati Carriere Universitarie,Dimostra come l'imbuto tripartito a 14 anni continui a produrre dispersione accademica anche dopo l'immatricolazione.
CAMPANIA,Sud,12.5,35.0,42.0,MUR USTAT Anagrafe Nazionale Studenti ANS / CINECA Dati Carriere Universitarie,Dimostra come l'imbuto tripartito a 14 anni continui a produrre dispersione accademica anche dopo l'immatricolazione.
PUGLIA,Sud,14.1,39.5,44.7,MUR USTAT Anagrafe Nazionale Studenti ANS / CINECA Dati Carriere Universitarie,Dimostra come l'imbuto tripartito a 14 anni continui a produrre dispersione accademica anche dopo l'immatricolazione.
BASILICATA,Sud,13.2,37.0,42.7,MUR USTAT Anagrafe Nazionale Studenti ANS / CINECA Dati Carriere Universitarie,Dimostra come l'imbuto tripartito a 14 anni continui a produrre dispersione accademica anche dopo l'immatricolazione.
CALABRIA,Sud,13.1,36.7,44.1,MUR USTAT Anagrafe Nazionale Studenti ANS / CINECA Dati Carriere Universitarie,Dimostra come l'imbuto tripartito a 14 anni continui a produrre dispersione accademica anche dopo l'immatricolazione.
SICILIA,Isole,15.4,43.1,47.1,MUR USTAT Anagrafe Nazionale Studenti ANS / CINECA Dati Carriere Universitarie,Dimostra come l'imbuto tripartito a 14 anni continui a produrre dispersione accademica anche dopo l'immatricolazione.
SARDEGNA,Isole,16.1,45.1,42.4,MUR USTAT Anagrafe Nazionale Studenti ANS / CINECA Dati Carriere Universitarie,Dimostra come l'imbuto tripartito a 14 anni continui a produrre dispersione accademica anche dopo l'immatricolazione.
