COD_ATENEO,NOME_ATENEO,ISCRITTI_LAUREA,ISCRITTI_DOTTORATO,ISCRITTI_SPECIALIZZAZIONE,ISCRITTI_MASTER,TASSA_MEDIA_PAGANTI_LAUREA,TASSA_MEDIA_TOTALE_ISCRITTI_LAUREA
5801,"Roma - Università degli studi ""La Sapienza""",112407.0,4146.0,3149.0,3020.0,"1460,37","940,43"
6307,"Napoli - Università telematica ""Pegaso""",88186.0,32.0,0.0,13595.0,"2019,83","2019,38"
3701,Bologna - Università degli studi,83859.0,2611.0,2429.0,1422.0,"1831,44","1264,87"
101,Torino - Università degli studi,78473.0,1240.0,2793.0,2088.0,"1406,96","985,93"
6301,"Napoli - Università degli studi ""Federico II""",73453.0,1872.0,1405.0,420.0,"1513,4","769,7"
2801,Padova - Università degli studi,72252.0,2113.0,2565.0,3042.0,"2096,92","1382,62"
1501,Milano - Università degli studi,58804.0,1453.0,3419.0,403.0,"2058,18","1275,56"
1301,"Novedrate (CO) - Università telematica ""e-Campus""",56077.0,41.0,0.0,16677.0,"3664,09","2905,21"
4801,Firenze - Università degli studi,54075.0,1097.0,1892.0,739.0,"1380,14","983,92"
5814,Roma - Universitas telematica Mercatorum,51010.0,33.0,0.0,859.0,"1868,9","1866,82"
1502,Milano - Politecnico,49223.0,2404.0,0.0,1561.0,"2509,83","1946,37"
8201,Palermo - Università degli studi,45287.0,1165.0,1301.0,288.0,"1384,64","678,94"
5001,Pisa - Università,45139.0,1073.0,1305.0,1352.0,"1534,21","918,04"
1504,"Milano - Università Cattolica del ""Sacro Cuore""",42073.0,758.0,1370.0,3497.0,"7220,3","6542,48"
8701,Catania - Università degli studi,39999.0,776.0,1352.0,320.0,"995,49","587,88"
7201,Bari - Università degli studi,39396.0,982.0,1938.0,250.0,"1368,35","755,27"
102,Torino - Politecnico,37350.0,1420.0,0.0,91.0,"1504,95","852,18"
1509,Milano-Bicocca - Università degli studi,35666.0,854.0,1195.0,572.0,"1698,2","1228,38"
5807,Roma - III Università degli studi,35606.0,382.0,0.0,1268.0,"1149,04","731,51"
6501,Salerno - Università degli studi,32670.0,760.0,509.0,150.0,"1179,61","605,22"
1001,Genova - Università degli studi,32038.0,1384.0,950.0,292.0,"1781,74","1271,16"
5802,"Roma - Università degli studi di ""Tor Vergata""",31016.0,1595.0,416.0,1402.0,"1684,74","906,38"
5401,Perugia - Università degli studi,28962.0,561.0,583.0,227.0,"1262,77","838,81"
3401,Parma - Università degli studi,28892.0,615.0,836.0,744.0,"1501,41","1064,73"
3801,Ferrara - Università degli studi,27001.0,452.0,920.0,558.0,"1424,13","934,8"
1801,Pavia - Università degli studi,26599.0,895.0,1093.0,1204.0,"2045,05","1285,48"
3601,Modena e Reggio Emilia - Università degli studi,26082.0,714.0,1334.0,273.0,"1600,52","1131,55"
2301,Verona - Università degli studi,25491.0,582.0,1606.0,811.0,"1431,06","1094,15"
8301,Messina - Università degli studi,25487.0,506.0,1196.0,154.0,"1041,91","508,41"
9201,Cagliari - Università degli studi,23696.0,387.0,995.0,84.0,"1337,06","708,19"
6306,"Napoli - Università degli studi della Campania ""Luigi Vanvitelli""",22864.0,1019.0,1294.0,371.0,"2054,26","861,17"
7801,Arcavacata di Rende - Università della Calabria,22653.0,340.0,86.0,1128.0,"1054,69","538,17"
6901,Chieti e Pescara - Università degli studi Gabriele D'Annunzio,20094.0,434.0,528.0,732.0,"1152,97","611,31"
1601,Bergamo - Università degli studi,19794.0,208.0,17.0,125.0,"1210,91","774,23"
7501,Lecce - Università del Salento,19550.0,415.0,28.0,505.0,"1249,28","553,52"
2701,Venezia - Università Ca' Foscari Venezia,18812.0,438.0,0.0,550.0,"1946,56","1475,05"
5810,"Roma - Università telematica ""Guglielmo Marconi""",18637.0,75.0,48.0,1275.0,"2096,9","2095,06"
