year,classe_eta,female,male,total,female_minus_male_pp,female_to_male_ratio
2010,Y15-19,63.6763125,73.77071875,137.447,-10.094406249999999,0.8631651362350323
2011,Y15-19,62.498281250000005,70.791625,133.289875,-8.293343749999991,0.8828485184511587
2012,Y15-19,59.19559375,76.00715625,135.2026875,-16.811562499999994,0.7788160572051399
2013,Y15-19,56.897999999999996,74.0944375,130.99234375,-17.196437500000002,0.7679118962202797
2014,Y15-19,57.9624375,70.6384375,128.60090625,-12.675999999999995,0.8205509571187783
2015,Y15-19,55.1875625,68.67434375,123.86184375,-13.486781250000007,0.8036125208695568
2016,Y15-19,52.79315625,63.37128125,116.16434375,-10.578125,0.8330769902178679
2017,Y15-19,63.99990625,72.52640625,136.52625,-8.526499999999992,0.8824359231228283
2018,Y15-19,59.60690625,68.46546875,128.0723125,-8.858562499999998,0.8706126948119376
2019,Y15-19,55.51675,67.22640625,122.74309375,-11.709656249999995,0.8258176079433073
2020,Y15-19,60.48225,69.113375,129.5954375,-8.631125000000004,0.8751164300687095
2010,Y15-24,176.12747142857143,176.13042857142855,280.4819891304348,-0.0029571428571273373,0.9999832104941712
2011,Y15-24,183.09634285714287,181.4854,290.2895760869565,1.6109428571428737,1.0088764322482298
2012,Y15-24,189.0649857142857,193.97525714285715,305.2169347826087,-4.910271428571434,0.9746860939848881
2013,Y15-24,193.96105714285713,211.27347142857144,322.8917173913043,-17.31241428571431,0.9180568475130708
2014,Y15-24,191.5502857142857,207.42715714285714,318.02872826086957,-15.876871428571434,0.923458086938747
2015,Y15-24,186.87657142857142,199.67264285714285,308.0155434782609,-12.796071428571423,0.9359147490338651
2016,Y15-24,173.41254285714285,181.9162142857143,283.18977173913044,-8.503671428571437,0.9532550110392264
2017,Y15-24,175.84535714285713,186.45844285714287,288.60601086956524,-10.613085714285745,0.9430806910555556
2018,Y15-24,172.01364285714286,176.43274285714284,277.4876739130435,-4.419099999999986,0.974953061838538
2019,Y15-24,160.23510000000002,169.37875714285715,262.42552173913043,-9.143657142857137,0.9460165058647514
2020,Y15-24,172.2852714285714,181.1919,281.17625,-8.906628571428598,0.9508442233266023
2010,Y15-29,363.50354285714286,276.17422857142856,509.2269130434783,87.3293142857143,1.316210946754316
2011,Y15-29,365.37822857142856,286.8005,519.2157934782609,78.57772857142857,1.273980444843815
2012,Y15-29,370.19404285714285,304.36699999999996,537.4411195652174,65.82704285714289,1.2162752297625659
2013,Y15-29,391.9720714285714,344.1227285714286,586.4471847826087,47.8493428571428,1.1390473191229822
2014,Y15-29,389.13334285714285,344.42408571428575,584.6334782608695,44.7092571428571,1.1298087415987084
2015,Y15-29,382.21014285714284,336.6091714285714,572.7002934782608,45.60097142857143,1.1354715655400613
2016,Y15-29,365.9365285714286,308.23589999999996,537.2571956521739,57.70062857142864,1.187196327784754
2017,Y15-29,360.6951142857143,310.6730857142857,534.8792065217392,50.022028571428564,1.161011786574367
2018,Y15-29,351.43402857142854,299.7316,518.6873478260869,51.70242857142853,1.1724957547733657
2019,Y15-29,336.50408571428574,283.6277285714286,493.8208695652174,52.87635714285716,1.1864287296915006
2020,Y15-29,358.3803571428571,306.0366,528.6176304347827,52.3437571428571,1.1710375724434825
2010,Y15-34,610.8650714285715,369.2533714285714,780.0606739130434,241.61170000000004,1.654324966797866
2011,Y15-34,605.8137714285714,376.7942142857143,782.040206521739,229.01955714285708,1.6078107053129984
2012,Y15-34,597.6865428571429,402.85202857142855,796.86225,194.8345142857143,1.4836379128500994
2013,Y15-34,626.2362999999999,459.24677142857144,864.5868804347826,166.98952857142848,1.3636161187415143
2014,Y15-34,615.0030714285714,459.70602857142853,856.2530217391305,155.29704285714286,1.3378181559631495
2015,Y15-34,607.0936571428571,445.7176285714286,838.5837826086956,161.3760285714285,1.362058887122449
2016,Y15-34,587.5173285714286,419.0998142857143,801.8613260869565,168.41751428571433,1.4018553779909302
2017,Y15-34,572.4125571428572,409.1498,781.831054347826,163.26275714285714,1.3990292971983784
2018,Y15-34,555.9743857142857,395.79852857142856,757.9660978260869,160.17585714285718,1.4046903805352342
2019,Y15-34,535.4045714285714,377.38971428571426,726.781597826087,158.01485714285718,1.4187047266031931
2020,Y15-34,572.1739285714286,405.7007,777.9392717391304,166.47322857142865,1.4103350784739308
2010,Y18-29,346.1108571428572,256.3053142857143,479.6480760869565,89.80554285714288,1.3503850207219381
2011,Y18-29,348.05872857142856,268.0629714285714,490.58709782608696,79.99575714285714,1.2984215116192315
2012,Y18-29,355.09495714285714,285.7960857142857,510.6709565217392,69.29887142857143,1.2424766289411342
2013,Y18-29,380.7702142857143,329.5567142857143,565.9638043478261,51.21350000000001,1.155401173090953
2014,Y18-29,376.72408571428576,329.01112857142857,562.5225652173913,47.71295714285719,1.1450192805028439
2015,Y18-29,369.1934428571429,318.90265714285715,548.3046086956522,50.29078571428573,1.157699487877761
2016,Y18-29,353.18017142857144,292.5699714285714,514.692804347826,60.61020000000002,1.207164801309069
2017,Y18-29,342.5763285714286,290.92591428571427,504.8380652173913,51.650414285714305,1.1775380320193447
2018,Y18-29,335.7229142857143,281.9278142857143,492.09303260869564,53.79509999999999,1.1908116094763264
2019,Y18-29,321.5202571428572,264.15965714285716,466.4960652173913,57.360600000000034,1.2171436797746127
2020,Y18-29,343.562,290.6000142857143,504.65156521739135,52.96198571428573,1.182250458054741
2010,Y20-24,154.09496875,150.29121874999998,304.38584375,3.803750000000008,1.025309196582718
2011,Y20-24,164.4256875,158.48859375,322.91428125,5.9370937500000025,1.0374607005433159
2012,Y20-24,178.46809375,175.15828125,353.62646875,3.309812500000021,1.0188961234169454
2013,Y20-24,189.08903125,199.59690625000002,388.68596875000003,-10.507875000000013,0.9473545196795854
2014,Y20-24,186.7155625,200.11759375,386.83296875,-13.402031249999993,0.9330292204755236
2015,Y20-24,181.2663125,190.98346875,372.24965625,-9.717156249999988,0.9491204327076084
2016,Y20-24,167.6685625,172.90209375,340.57059375,-5.233531249999999,0.9697312442175097
2017,Y20-24,157.01621875,166.64134375,323.6575,-9.625124999999997,0.942240474162043
2018,Y20-24,156.062875,157.0744375,313.1373125,-1.0115624999999966,0.9935599801208902
2019,Y20-24,144.12534375,147.3324375,291.45778125,-3.2070937499999843,0.9782322630072554
2020,Y20-24,151.727125,159.423375,311.1505625,-7.696249999999992,0.9517244569687475
2010,Y25-29,227.70953125,127.98709375,355.69659375,99.7224375,1.779160105743084
2011,Y25-29,222.02428125,133.0798125,355.1043125,88.94446875,1.6683543287228482
2012,Y25-29,222.8184375,143.59603125,366.41446874999997,79.22240624999998,1.5517033135273366
2013,Y25-29,246.5570625,173.5345,420.09153125,73.02256249999999,1.42079564870386
2014,Y25-29,247.64309375,179.02790625,426.6710625,68.61518749999999,1.383265318448084
2015,Y25-29,243.66415625,178.13053125,421.79471875,65.533625,1.3678966460164308
2016,Y25-29,240.81878125,164.66896875,405.48765625,76.1498125,1.4624417889906776
2017,Y25-29,230.2665,162.255,392.52140625,68.01150000000001,1.4191642784505871
2018,Y25-29,222.04240625,159.01878125,381.0610625,63.02362500000001,1.3963281852910063
2019,Y25-29,216.64734375,146.52678125,363.174125,70.1205625,1.4785511692934974
2020,Y25-29,226.76353125,158.45746875,385.2210625,68.3060625,1.4310687469567445
2010,Y25-34,523.52675,247.16171875,770.68853125,276.36503125,2.1181546747922506
2011,Y25-34,508.68165625,248.10590625,756.7875625,260.57574999999997,2.050260164856515
2012,Y25-34,498.28521875,272.56615625,770.8514375,225.7190625,1.8281257864346465
2013,Y25-34,531.273125,323.89475,855.16784375,207.37837500000006,1.640264700184242
2014,Y25-34,522.5198125000001,329.65559375,852.1753125,192.86421875000008,1.5850476145606132
2015,Y25-34,516.85534375,319.7055625,836.561,197.14978125,1.6166604663001445
2016,Y25-34,509.391875,308.7850625,818.17684375,200.60681250000005,1.6496648862345795
2017,Y25-34,487.67368749999997,290.29003125,777.9635,197.38365624999994,1.6799532708720941
2018,Y25-34,469.79209375,283.49415625,753.286375,186.2979375,1.6571491277432637
2019,Y25-34,457.14015625,267.62734375,724.7675,189.5128125,1.7081220096741327
2020,Y25-34,483.35415625,284.51359375,767.8675000000001,198.84056250000003,1.6988789529498538
2010,Y30-34,295.8173125,119.174625,414.9919375,176.64268750000002,2.482217271503896
2011,Y30-34,286.65734375,115.026,401.6835,171.63134374999998,2.4921091209813433
2012,Y30-34,275.4668125,128.97015625,404.4369375,146.49665625,2.1358957801526275
2013,Y30-34,284.7160625,150.3601875,435.07628124999997,134.35587500000003,1.8935601719703896
2014,Y30-34,274.8766875,150.62765625,425.50446875,124.24903125,1.8248752874689969
2015,Y30-34,273.19115625,141.575125,414.766375,131.61603125,1.9296550594604807
2016,Y30-34,268.5730625,144.11621875,412.68925,124.45684374999999,1.8635866582504268
2017,Y30-34,257.407125,128.035,385.442125,129.372125,2.01044343343617
2018,Y30-34,247.74993750000002,124.47546875,372.22515625,123.27446875000001,1.9903515125344728
2019,Y30-34,240.49275,121.10071875,361.593375,119.39203125,1.9858903603740998
2020,Y30-34,256.59059375,126.05596874999999,382.6465625,130.534625,2.035529108969701
