indicator,Italy,Germany,France,Finland,Sweden,Netherlands,UK,source
social_mobility_index_world_bank_2024,3.2,6.8,5.4,8.5,8.2,7.6,6.2,World Bank Global Database of Intergenerational Mobility 2024
first_job_through_connections_pct,34,12,22,8,10,14,16,Eurobarometer 2023 + OECD
public_sector_hiring_transparency_score_1_10,4.2,7.5,6.1,9.0,8.8,8.2,7.0,Transparency International Government Defence Index 2024
academic_nepotism_documented_cases_per_100k_faculty,12.3,1.8,4.2,0.5,0.8,1.2,2.1,European University Association + National Reports
corruption_perception_index_score_100,56,79,71,87,85,80,71,Transparency International CPI 2024
corruption_perception_index_rank,42,9,20,2,6,8,20,Transparency International CPI 2024
parental_education_impact_on_child_outcomes_pisa_pct,18.5,12.2,14.1,6.8,8.4,10.2,11.5,OECD PISA 2022 Equity Volume
intergenerational_earnings_elasticity,0.50,0.32,0.41,0.18,0.27,0.26,0.35,Corak 2013 updated with OECD 2024
gender_pay_gap_pct,5.0,18.3,15.8,7.0,11.2,14.2,14.9,Eurostat 2024
youth_unemployment_vs_adult_ratio,3.1,1.5,2.8,2.0,2.5,1.8,2.2,Eurostat Labour Force Survey 2024
