Regione,Macroarea,oecd_quota_docenti_oltre_50_anni_pct,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,52.9,OCSE Education at a Glance Invecchiamento Docenti,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,56.0,OCSE Education at a Glance Invecchiamento Docenti,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,54.8,OCSE Education at a Glance Invecchiamento Docenti,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,55.3,OCSE Education at a Glance Invecchiamento Docenti,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,54.9,OCSE Education at a Glance Invecchiamento Docenti,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,52.3,OCSE Education at a Glance Invecchiamento Docenti,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,53.5,OCSE Education at a Glance Invecchiamento Docenti,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,54.8,OCSE Education at a Glance Invecchiamento Docenti,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,53.3,OCSE Education at a Glance Invecchiamento Docenti,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,60.3,OCSE Education at a Glance Invecchiamento Docenti,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,55.4,OCSE Education at a Glance Invecchiamento Docenti,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,53.7,OCSE Education at a Glance Invecchiamento Docenti,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,53.8,OCSE Education at a Glance Invecchiamento Docenti,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,61.9,OCSE Education at a Glance Invecchiamento Docenti,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,61.9,OCSE Education at a Glance Invecchiamento Docenti,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,61.1,OCSE Education at a Glance Invecchiamento Docenti,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,58.7,OCSE Education at a Glance Invecchiamento Docenti,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,54.5,OCSE Education at a Glance Invecchiamento Docenti,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,66.0,OCSE Education at a Glance Invecchiamento Docenti,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,55.8,OCSE Education at a Glance Invecchiamento Docenti,Verificato e Certificato - Osservatorio Italienation
