COD_REGIONE,DEN_REGIONE,total_projects,total_public_funding
000,AMBITO NAZIONALE,77,2097211274.97
001,PIEMONTE,3319,387364280.6
001:::005,PIEMONTE:::VENETO,7,100008.22
001:::005:::006:::008:::009:::012:::013:::016:::019:::020,PIEMONTE:::VENETO:::FRIULI-VENEZIA GIULIA:::EMILIA-ROMAGNA:::TOSCANA:::LAZIO:::ABRUZZO:::PUGLIA:::SICILIA:::SARDEGNA,1,2554308.31
001:::006:::009:::012:::013:::016:::018:::019:::020,PIEMONTE:::FRIULI-VENEZIA GIULIA:::TOSCANA:::LAZIO:::ABRUZZO:::PUGLIA:::CALABRIA:::SICILIA:::SARDEGNA,1,153798.19
001:::006:::009:::012:::013:::016:::019:::020,PIEMONTE:::FRIULI-VENEZIA GIULIA:::TOSCANA:::LAZIO:::ABRUZZO:::PUGLIA:::SICILIA:::SARDEGNA,1,2035472.63
001:::012,PIEMONTE:::LAZIO,1,17716896.0
002,VALLE D'AOSTA,31,60523137.38
003,LOMBARDIA,4725,562493968.74
003:::005,LOMBARDIA:::VENETO,23,339408.2
004,TRENTINO-ALTO ADIGE,404,186904044.48
004:::008,TRENTINO-ALTO ADIGE:::EMILIA-ROMAGNA,1,18476.0
005,VENETO,3706,358890935.55
005:::006,VENETO:::FRIULI-VENEZIA GIULIA,9,47673297.08
005:::006:::008:::009:::012:::013:::019,VENETO:::FRIULI-VENEZIA GIULIA:::EMILIA-ROMAGNA:::TOSCANA:::LAZIO:::ABRUZZO:::SICILIA,2,1642891.27
005:::007,VENETO:::LIGURIA,4,62834.3
005:::008,VENETO:::EMILIA-ROMAGNA,13,170718.03
005:::009,VENETO:::TOSCANA,24,363445.02
005:::010,VENETO:::UMBRIA,8,126550.0
005:::011,VENETO:::MARCHE,36,548976.56
005:::012,VENETO:::LAZIO,5,79377.84
005:::013,VENETO:::ABRUZZO,17,204901.47
005:::014,VENETO:::MOLISE,3,44442.72
005:::015,VENETO:::CAMPANIA,48,695671.78
005:::016,VENETO:::PUGLIA,33,505781.55
005:::017,VENETO:::BASILICATA,2,33500.0
005:::018,VENETO:::CALABRIA,8,130500.0
005:::019,VENETO:::SICILIA,16,230241.15
005:::020,VENETO:::SARDEGNA,5,62722.32
006,FRIULI-VENEZIA GIULIA,1388,202978954.96
007,LIGURIA,1048,231868093.8
008,EMILIA-ROMAGNA,4608,394687541.35
008:::011,EMILIA-ROMAGNA:::MARCHE,1,10577.15
009,TOSCANA,3037,355453241.69
009:::012,TOSCANA:::LAZIO,1,12157448.0
010,UMBRIA,1899,139130740.11
011,MARCHE,1678,195531730.08
012,LAZIO,4662,803261554.49
013,ABRUZZO,1345,217271233.25
014,MOLISE,424,79397692.79
014:::015:::016:::017:::018:::019,MOLISE:::CAMPANIA:::PUGLIA:::BASILICATA:::CALABRIA:::SICILIA,1,35657442.97
015,CAMPANIA,10282,1984101276.05
015:::016:::017:::018,CAMPANIA:::PUGLIA:::BASILICATA:::CALABRIA,1,2785000.0
015:::016:::017:::018:::019,CAMPANIA:::PUGLIA:::BASILICATA:::CALABRIA:::SICILIA,2,59461887.17999999
015:::016:::018,CAMPANIA:::PUGLIA:::CALABRIA,1,3250000.0
015:::016:::018:::019,CAMPANIA:::PUGLIA:::CALABRIA:::SICILIA,6,874659.1799999999
016,PUGLIA,10359,1331629790.4
017,BASILICATA,1151,509468401.49
018,CALABRIA,4083,855880486.03
019,SICILIA,11609,1312194242.64
020,SARDEGNA,1810,696736976.58
998,PAESI EUROPEI,11,2067117.56
