Regione,Macroarea,openpolis_copertura_posti_asilo_nido_pubblico_pct,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,32.3,Openpolis Copertura Asili Nido Comunali,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,34.9,Openpolis Copertura Asili Nido Comunali,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,36.5,Openpolis Copertura Asili Nido Comunali,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,34.3,Openpolis Copertura Asili Nido Comunali,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,34.9,Openpolis Copertura Asili Nido Comunali,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,33.5,Openpolis Copertura Asili Nido Comunali,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,36.4,Openpolis Copertura Asili Nido Comunali,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,31.5,Openpolis Copertura Asili Nido Comunali,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,26.4,Openpolis Copertura Asili Nido Comunali,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,28.6,Openpolis Copertura Asili Nido Comunali,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,28.5,Openpolis Copertura Asili Nido Comunali,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,27.9,Openpolis Copertura Asili Nido Comunali,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,14.3,Openpolis Copertura Asili Nido Comunali,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,16.5,Openpolis Copertura Asili Nido Comunali,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,15.7,Openpolis Copertura Asili Nido Comunali,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,14.6,Openpolis Copertura Asili Nido Comunali,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,16.3,Openpolis Copertura Asili Nido Comunali,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,14.4,Openpolis Copertura Asili Nido Comunali,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,15.3,Openpolis Copertura Asili Nido Comunali,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,16.2,Openpolis Copertura Asili Nido Comunali,Verificato e Certificato - Osservatorio Italienation
