Entity,Code,Year,"Government expenditure on education, total (% of government expenditure)",Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate)
France,FRA,1995,10.500997,,,
France,FRA,1996,10.445261,,,
France,FRA,1997,10.434247,,,
France,FRA,1998,10.601984,,,
France,FRA,1999,10.779216,,,
France,FRA,2000,10.838972,,,
France,FRA,2001,10.877181,,,
France,FRA,2002,10.957714,,,
France,FRA,2003,10.820186,,,
France,FRA,2004,10.480442,,,
France,FRA,2005,10.355126,,,
France,FRA,2006,10.356435,,,
France,FRA,2007,10.094248,,,
France,FRA,2008,10.114131,,,
France,FRA,2009,9.922378,,,
France,FRA,2010,9.921668,,,
France,FRA,2011,9.737815,,,
France,FRA,2012,9.612244,,,
France,FRA,2013,9.5985365,,,
France,FRA,2014,9.594199,,,
France,FRA,2015,9.590435,,,
France,FRA,2016,9.541594,,,
France,FRA,2017,9.546895,,,
France,FRA,2018,9.565526,,,
France,FRA,2019,9.481998,,,
France,FRA,2020,8.822712,,,
France,FRA,2021,8.875411,,,
Germany,DEU,1991,8.461964,,,
Germany,DEU,1992,9.049965,,,
Germany,DEU,1993,9.237968,,,
Germany,DEU,1994,9.162861,,,
Germany,DEU,1995,7.5056434,,,
Germany,DEU,1996,8.5792265,,,
Germany,DEU,1997,8.706573,,,
Germany,DEU,1998,8.634326,,,
Germany,DEU,1999,8.584398,,,
Germany,DEU,2000,8.528443,,,
Germany,DEU,2001,8.75545,,,
Germany,DEU,2002,8.707961,,,
Germany,DEU,2003,8.642513,,,
Germany,DEU,2004,8.771616,,,
Germany,DEU,2005,8.78029,,,
Germany,DEU,2006,8.906779,,,
Germany,DEU,2007,9.044315,,,
Germany,DEU,2008,8.929846,,,
Germany,DEU,2009,9.018068,,,
Germany,DEU,2010,9.113441,,,
Germany,DEU,2011,9.511645,,,
Germany,DEU,2012,9.51723,,,
Germany,DEU,2013,9.709711,,,
Germany,DEU,2014,9.748104,,,
Germany,DEU,2015,9.638144,,,
Germany,DEU,2016,9.47783,,,
Germany,DEU,2017,9.480731,,,
Germany,DEU,2018,9.638202,,,
Germany,DEU,2019,9.726378,,,
Germany,DEU,2020,9.298441,,,
Germany,DEU,2021,9.066173,,,
Germany,DEU,2022,9.1907015,,,
Italy,ITA,1995,8.451828,,,
Italy,ITA,1996,8.727201,,,
Italy,ITA,1997,9.021955,,,
Italy,ITA,1998,9.220395,,,
Italy,ITA,1999,9.388377,,,
Italy,ITA,2000,9.321593,,,
Italy,ITA,2001,9.335922,,,
Italy,ITA,2002,9.507875,,,
Italy,ITA,2003,9.63621,,,
Italy,ITA,2004,9.217767,,,
Italy,ITA,2005,9.408569,,,
