Entity,Code,Year,Completion rate in upper secondary education,Normalized  harmonized test scores among all students,Expected years of schooling,Population,World regions according to WB
Denmark,DNK,1990,74.4,,,,
Denmark,DNK,1991,74.9,,,,
Denmark,DNK,1992,75.5,,,,
Denmark,DNK,1993,76.1,,,,
Denmark,DNK,1994,76.8,,,,
Denmark,DNK,1995,77.5,,,,
Denmark,DNK,1996,78.1,,,,
Denmark,DNK,1997,78.4,,,,
Denmark,DNK,1998,78.6,,,,
Denmark,DNK,1999,78.6,,,,
Denmark,DNK,2000,78.6,,,,
Denmark,DNK,2001,78.4,,,,
Denmark,DNK,2002,77.9,,,,
Denmark,DNK,2003,77.4,,,,
Denmark,DNK,2004,76.8,,,,
Denmark,DNK,2005,76.1,,,,
Denmark,DNK,2006,75.7,,,,
Denmark,DNK,2007,75.3,,,,
Denmark,DNK,2008,75.0,,,,
Denmark,DNK,2009,74.6,,,,
Denmark,DNK,2010,74.2,,,,
Denmark,DNK,2011,74.0,,,,
Denmark,DNK,2012,73.9,,,,
Denmark,DNK,2013,74.0,,,,
Denmark,DNK,2014,74.3,,,,
Denmark,DNK,2015,74.6,,,,
Denmark,DNK,2016,74.7,,,,
Denmark,DNK,2017,74.9,,,,
Denmark,DNK,2018,74.9,,,,
Denmark,DNK,2019,75.1,,,,
Denmark,DNK,2020,75.3,,,,
Denmark,DNK,2021,75.5,,,,
Denmark,DNK,2022,75.7,,,,
Denmark,DNK,2023,76.0,,,,
Denmark,DNK,2024,76.2,,,,
Finland,FIN,1990,85.5,,,,
Finland,FIN,1991,85.5,,,,
Finland,FIN,1992,85.5,,,,
Finland,FIN,1993,85.7,,,,
Finland,FIN,1994,85.9,,,,
Finland,FIN,1995,86.2,,,,
Finland,FIN,1996,86.7,,,,
Finland,FIN,1997,87.3,,,,
Finland,FIN,1998,87.6,,,,
Finland,FIN,1999,87.8,,,,
Finland,FIN,2000,87.9,,,,
Finland,FIN,2001,87.8,,,,
Finland,FIN,2002,87.6,,,,
Finland,FIN,2003,87.3,,,,
Finland,FIN,2004,86.9,,,,
Finland,FIN,2005,86.6,,,,
Finland,FIN,2006,86.4,,,,
Finland,FIN,2007,86.3,,,,
Finland,FIN,2008,86.4,,,,
Finland,FIN,2009,86.5,,,,
Finland,FIN,2010,86.6,,,,
Finland,FIN,2011,86.7,,,,
Finland,FIN,2012,86.9,,,,
Finland,FIN,2013,87.2,,,,
Finland,FIN,2014,87.5,,,,
Finland,FIN,2015,87.9,,,,
Finland,FIN,2016,88.3,,,,
Finland,FIN,2017,88.6,,,,
Finland,FIN,2018,88.7,,,,
Finland,FIN,2019,88.8,,,,
Finland,FIN,2020,88.9,,,,
Finland,FIN,2021,89.1,,,,
Finland,FIN,2022,89.3,,,,
Finland,FIN,2023,89.4,,,,
Finland,FIN,2024,89.7,,,,
France,FRA,1990,72.7,,,,
France,FRA,1991,73.6,,,,
France,FRA,1992,74.6,,,,
France,FRA,1993,75.5,,,,
France,FRA,1994,76.3,,,,
France,FRA,1995,77.1,,,,
France,FRA,1996,77.9,,,,
France,FRA,1997,78.7,,,,
France,FRA,1998,79.3,,,,
France,FRA,1999,79.7,,,,
France,FRA,2000,79.9,,,,
France,FRA,2001,80.2,,,,
France,FRA,2002,80.3,,,,
France,FRA,2003,80.4,,,,
France,FRA,2004,80.2,,,,
France,FRA,2005,80.2,,,,
France,FRA,2006,80.5,,,,
France,FRA,2007,80.9,,,,
France,FRA,2008,81.3,,,,
France,FRA,2009,81.6,,,,
France,FRA,2010,81.9,,,,
France,FRA,2011,82.4,,,,
France,FRA,2012,82.8,,,,
France,FRA,2013,83.2,,,,
France,FRA,2014,83.5,,,,
France,FRA,2015,83.8,,,,
France,FRA,2016,84.3,,,,
France,FRA,2017,84.7,,,,
France,FRA,2018,85.2,,,,
France,FRA,2019,85.6,,,,
France,FRA,2020,86.0,,,,
France,FRA,2021,86.3,,,,
France,FRA,2022,86.7,,,,
France,FRA,2023,87.0,,,,
France,FRA,2024,87.4,,,,
Germany,DEU,1990,81.2,,,,
Germany,DEU,1991,81.1,,,,
Germany,DEU,1992,80.9,,,,
Germany,DEU,1993,80.8,,,,
Germany,DEU,1994,80.4,,,,
Germany,DEU,1995,79.8,,,,
Germany,DEU,1996,79.5,,,,
Germany,DEU,1997,79.3,,,,
Germany,DEU,1998,79.5,,,,
Germany,DEU,1999,79.6,,,,
Germany,DEU,2000,79.8,,,,
Germany,DEU,2001,79.7,,,,
Germany,DEU,2002,79.7,,,,
Germany,DEU,2003,79.8,,,,
Germany,DEU,2004,80.0,,,,
Germany,DEU,2005,80.1,,,,
Germany,DEU,2006,80.0,,,,
Germany,DEU,2007,79.8,,,,
Germany,DEU,2008,79.6,,,,
Germany,DEU,2009,79.6,,,,
Germany,DEU,2010,79.6,,,,
Germany,DEU,2011,79.6,,,,
Germany,DEU,2012,79.7,,,,
Germany,DEU,2013,79.9,,,,
Germany,DEU,2014,80.2,,,,
Germany,DEU,2015,80.4,,,,
Germany,DEU,2016,80.7,,,,
Germany,DEU,2017,80.9,,,,
Germany,DEU,2018,81.0,,,,
Germany,DEU,2019,81.1,,,,
Germany,DEU,2020,81.2,,,,
Germany,DEU,2021,81.4,,,,
Germany,DEU,2022,81.5,,,,
