Regione,Macroarea,shiw_probabilita_laurea_se_genitori_laureati_pct,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,73.4,Banca d'Italia SHIW Mobilità Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,77.7,Banca d'Italia SHIW Mobilità Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,71.0,Banca d'Italia SHIW Mobilità Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,72.8,Banca d'Italia SHIW Mobilità Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,77.0,Banca d'Italia SHIW Mobilità Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,78.6,Banca d'Italia SHIW Mobilità Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,73.7,Banca d'Italia SHIW Mobilità Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,78.7,Banca d'Italia SHIW Mobilità Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,68.9,Banca d'Italia SHIW Mobilità Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,73.7,Banca d'Italia SHIW Mobilità Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,69.2,Banca d'Italia SHIW Mobilità Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,74.4,Banca d'Italia SHIW Mobilità Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,68.8,Banca d'Italia SHIW Mobilità Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,63.9,Banca d'Italia SHIW Mobilità Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,68.5,Banca d'Italia SHIW Mobilità Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,73.2,Banca d'Italia SHIW Mobilità Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,67.7,Banca d'Italia SHIW Mobilità Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,66.1,Banca d'Italia SHIW Mobilità Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,67.8,Banca d'Italia SHIW Mobilità Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,65.7,Banca d'Italia SHIW Mobilità Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
