Regione,Precariousness_Rate,No_Agibilita_Rate,Degrado_Urbano_Rate,NEET_Rate,Structural_Decay_Index,GDP_Per_Capita,IRPEF_Taxable_Income_Per_Capita,Evasion_Proxy_Index,Macro_Area,Black_Labour_Rate
BASILICATA,15.93,72.46,0.0,30.7,29.47,25900.0,19234.191872253916,6665.808127746084,Sud e isole,15.8
SARDEGNA,25.27,85.65,0.0,29.2,36.97,24600.0,20261.886288613772,4338.113711386228,Sud e isole,15.8
MOLISE,20.07,53.24,0.0,28.3,24.44,25000.0,18955.69177784702,6044.30822215298,Sud e isole,15.8
SICILIA,19.26,78.62,0.0,28.1,32.63,21200.0,19023.15504715259,2176.8449528474084,Sud e isole,15.8
ABRUZZO,24.91,68.55,0.0,27.7,31.15,28600.0,20911.382735348623,7688.617264651377,Sud e isole,15.8
CAMPANIA,16.12,61.91,0.0,27.6,26.01,21800.0,19564.002244936935,2235.9977550630647,Sud e isole,15.8
PUGLIA,20.84,71.55,0.0,27.1,30.79,22100.0,18937.171098465187,3162.8289015348128,Sud e isole,15.8
CALABRIA,17.1,71.36,0.0,26.1,29.49,19800.0,17828.00306665137,1971.9969333486297,Sud e isole,15.8
MARCHE,23.89,50.36,0.0,17.9,24.75,31200.0,22553.93423551324,8646.06576448676,Centro,37.2
LAZIO,24.15,87.69,0.0,17.9,37.28,39800.0,25257.776186072013,14542.223813927987,Centro,37.2
TOSCANA,27.25,62.53,0.0,17.2,29.93,35600.0,23970.204200162443,11629.795799837557,Centro,37.2
UMBRIA,27.36,60.42,0.0,14.7,29.26,28800.0,22796.14316571022,6003.856834289782,Centro,37.2
EMILIA-ROMAGNA,26.97,54.11,0.0,13.4,27.03,40700.0,25665.65711270038,15034.34288729962,Nord est,25.7
FRIULI-VENEZIA GIULIA,24.22,47.43,0.0,13.1,23.88,35800.0,24777.172555308523,11022.827444691477,Nord est,25.7
PIEMONTE,31.78,46.11,0.0,12.7,25.96,34500.0,24990.91769716034,9509.082302839659,Nord ovest,21.3
LOMBARDIA,29.35,49.93,0.0,11.9,26.42,45900.0,27713.710889816222,18186.289110183778,Nord ovest,21.3
LIGURIA,28.76,68.85,0.0,11.8,32.54,35400.0,24196.323891778135,11203.676108221865,Nord ovest,21.3
VENETO,26.39,46.8,0.0,11.4,24.4,37900.0,24757.19093183827,13142.809068161729,Nord est,25.7
