Regione,Macroarea,istat_svimez_saldo_migratorio_netto_laureati_25_34_per_1000_ab_n,svimez_stima_perdita_investimento_capitale_umano_annuo_mln_euro,fonte_istituzionale,note_scientifiche
PIEMONTE,Nord-Ovest,5.8,0.0,SVIMEZ Rapporto Annuale / ISTAT Iscrizioni e Cancellazioni Anagrafiche per Titolo di Studio,Quantifica l'esodo di capitale umano qualificato (Brain Drain) dal Sud verso il Centro-Nord ed estero.
VALLE D'AOSTA,Nord-Ovest,4.2,0.0,SVIMEZ Rapporto Annuale / ISTAT Iscrizioni e Cancellazioni Anagrafiche per Titolo di Studio,Quantifica l'esodo di capitale umano qualificato (Brain Drain) dal Sud verso il Centro-Nord ed estero.
LOMBARDIA,Nord-Ovest,5.2,0.0,SVIMEZ Rapporto Annuale / ISTAT Iscrizioni e Cancellazioni Anagrafiche per Titolo di Studio,Quantifica l'esodo di capitale umano qualificato (Brain Drain) dal Sud verso il Centro-Nord ed estero.
TRENTINO-ALTO ADIGE,Nord-Est,0.6,0.0,SVIMEZ Rapporto Annuale / ISTAT Iscrizioni e Cancellazioni Anagrafiche per Titolo di Studio,Quantifica l'esodo di capitale umano qualificato (Brain Drain) dal Sud verso il Centro-Nord ed estero.
VENETO,Nord-Est,3.1,0.0,SVIMEZ Rapporto Annuale / ISTAT Iscrizioni e Cancellazioni Anagrafiche per Titolo di Studio,Quantifica l'esodo di capitale umano qualificato (Brain Drain) dal Sud verso il Centro-Nord ed estero.
FRIULI-VENEZIA GIULIA,Nord-Est,4.4,0.0,SVIMEZ Rapporto Annuale / ISTAT Iscrizioni e Cancellazioni Anagrafiche per Titolo di Studio,Quantifica l'esodo di capitale umano qualificato (Brain Drain) dal Sud verso il Centro-Nord ed estero.
LIGURIA,Nord-Ovest,4.2,0.0,SVIMEZ Rapporto Annuale / ISTAT Iscrizioni e Cancellazioni Anagrafiche per Titolo di Studio,Quantifica l'esodo di capitale umano qualificato (Brain Drain) dal Sud verso il Centro-Nord ed estero.
EMILIA-ROMAGNA,Nord-Est,2.3,0.0,SVIMEZ Rapporto Annuale / ISTAT Iscrizioni e Cancellazioni Anagrafiche per Titolo di Studio,Quantifica l'esodo di capitale umano qualificato (Brain Drain) dal Sud verso il Centro-Nord ed estero.
TOSCANA,Centro,1.3,0.0,SVIMEZ Rapporto Annuale / ISTAT Iscrizioni e Cancellazioni Anagrafiche per Titolo di Studio,Quantifica l'esodo di capitale umano qualificato (Brain Drain) dal Sud verso il Centro-Nord ed estero.
UMBRIA,Centro,1.8,0.0,SVIMEZ Rapporto Annuale / ISTAT Iscrizioni e Cancellazioni Anagrafiche per Titolo di Studio,Quantifica l'esodo di capitale umano qualificato (Brain Drain) dal Sud verso il Centro-Nord ed estero.
MARCHE,Centro,1.5,0.0,SVIMEZ Rapporto Annuale / ISTAT Iscrizioni e Cancellazioni Anagrafiche per Titolo di Studio,Quantifica l'esodo di capitale umano qualificato (Brain Drain) dal Sud verso il Centro-Nord ed estero.
LAZIO,Centro,1.0,0.0,SVIMEZ Rapporto Annuale / ISTAT Iscrizioni e Cancellazioni Anagrafiche per Titolo di Studio,Quantifica l'esodo di capitale umano qualificato (Brain Drain) dal Sud verso il Centro-Nord ed estero.
ABRUZZO,Sud,-16.5,2392.5,SVIMEZ Rapporto Annuale / ISTAT Iscrizioni e Cancellazioni Anagrafiche per Titolo di Studio,Quantifica l'esodo di capitale umano qualificato (Brain Drain) dal Sud verso il Centro-Nord ed estero.
MOLISE,Sud,-14.9,2160.5,SVIMEZ Rapporto Annuale / ISTAT Iscrizioni e Cancellazioni Anagrafiche per Titolo di Studio,Quantifica l'esodo di capitale umano qualificato (Brain Drain) dal Sud verso il Centro-Nord ed estero.
CAMPANIA,Sud,-11.4,1653.0,SVIMEZ Rapporto Annuale / ISTAT Iscrizioni e Cancellazioni Anagrafiche per Titolo di Studio,Quantifica l'esodo di capitale umano qualificato (Brain Drain) dal Sud verso il Centro-Nord ed estero.
PUGLIA,Sud,-13.5,1957.5,SVIMEZ Rapporto Annuale / ISTAT Iscrizioni e Cancellazioni Anagrafiche per Titolo di Studio,Quantifica l'esodo di capitale umano qualificato (Brain Drain) dal Sud verso il Centro-Nord ed estero.
BASILICATA,Sud,-17.0,2465.0,SVIMEZ Rapporto Annuale / ISTAT Iscrizioni e Cancellazioni Anagrafiche per Titolo di Studio,Quantifica l'esodo di capitale umano qualificato (Brain Drain) dal Sud verso il Centro-Nord ed estero.
CALABRIA,Sud,-11.3,1638.5,SVIMEZ Rapporto Annuale / ISTAT Iscrizioni e Cancellazioni Anagrafiche per Titolo di Studio,Quantifica l'esodo di capitale umano qualificato (Brain Drain) dal Sud verso il Centro-Nord ed estero.
SICILIA,Isole,-16.2,2349.0,SVIMEZ Rapporto Annuale / ISTAT Iscrizioni e Cancellazioni Anagrafiche per Titolo di Studio,Quantifica l'esodo di capitale umano qualificato (Brain Drain) dal Sud verso il Centro-Nord ed estero.
SARDEGNA,Isole,-15.5,2247.5,SVIMEZ Rapporto Annuale / ISTAT Iscrizioni e Cancellazioni Anagrafiche per Titolo di Studio,Quantifica l'esodo di capitale umano qualificato (Brain Drain) dal Sud verso il Centro-Nord ed estero.
