REF_AREA,REF_AREA_LABEL,TIME_PERIOD,lower_disability_per_1000_t_minus_1,lower_class_size_t_minus_1,lower_exam_success_t_minus_1,lower_foreign_share_t_minus_1,lower_median_grade_t_minus_1,lower_public_share_t_minus_1,lower_exam_failure_t_minus_1,upper_repeaters_all_t,upper_repeaters_fir_t,upper_lic_t,upper_tec_t,upper_voc_t,upper_voc_minus_lic_t,upper_tec_minus_lic_t,transition_jump_all_t,transition_jump_fir_t
ITC1,Piemonte,2016,37.9,21.1,99.7,12.9,7.0,95.3,0.29999999999999716,7.1,11.8,,,,,,6.8000000000000025,11.500000000000004
ITC2,Valle d'Aosta / Vallée d'Aoste,2016,32.5,20.4,99.8,8.6,7.0,95.9,0.20000000000000284,5.9,9.6,,,,,,5.6999999999999975,9.399999999999997
ITC3,Liguria,2016,44.2,21.8,99.7,12.1,7.0,95.0,0.29999999999999716,7.5,11.9,,,,,,7.200000000000003,11.600000000000003
ITC4,Lombardia,2016,45.9,22.1,99.8,14.7,7.0,91.5,0.20000000000000284,7.4,13.0,,,,,,7.1999999999999975,12.799999999999997
ITD1,Provincia Autonoma Bolzano / Bozen,2016,,19.7,,9.5,,94.2,,1.1,0.7,,,,,,,
ITD2,Provincia Autonoma Trento,2016,48.1,21.4,99.9,11.9,8.0,92.1,0.09999999999999432,6.2,10.5,,,,,,6.100000000000006,10.400000000000006
ITD3,Veneto,2016,36.9,21.5,99.8,13.3,7.0,95.3,0.20000000000000284,6.1,11.2,,,,,,5.899999999999997,10.999999999999996
ITD4,Friuli-Venezia Giulia,2016,31.4,20.4,99.8,11.4,7.0,96.1,0.20000000000000284,7.2,11.4,,,,,,6.999999999999997,11.199999999999998
ITD5,Emilia-Romagna,2016,33.2,22.6,99.8,15.6,7.0,95.9,0.20000000000000284,7.1,12.4,,,,,,6.899999999999997,12.199999999999998
ITDA,Trentino Alto Adige / Südtirol,2016,23.8,20.5,99.9,10.7,8.0,93.2,0.09999999999999432,3.8,5.6,,,,,,3.7000000000000055,5.500000000000005
ITE1,Toscana,2016,32.7,22.2,99.8,14.1,7.0,97.9,0.20000000000000284,8.2,13.3,,,,,,7.9999999999999964,13.099999999999998
ITE2,Umbria,2016,39.1,21.0,99.8,15.0,8.0,99.2,0.20000000000000284,5.1,7.9,,,,,,4.899999999999997,7.6999999999999975
ITE3,Marche,2016,35.7,21.7,99.8,12.7,7.0,99.2,0.20000000000000284,5.9,10.0,,,,,,5.6999999999999975,9.799999999999997
ITE4,Lazio,2016,45.7,21.2,99.8,10.2,8.0,94.9,0.20000000000000284,6.7,10.7,,,,,,6.499999999999997,10.499999999999996
ITF1,Abruzzo,2016,46.9,20.0,99.7,8.0,8.0,99.1,0.29999999999999716,6.7,10.7,,,,,,6.400000000000003,10.400000000000002
ITF2,Molise,2016,37.2,18.5,99.8,4.6,8.0,100.0,0.20000000000000284,4.8,7.6,,,,,,4.599999999999997,7.399999999999997
ITF3,Campania,2016,34.3,20.5,99.5,2.4,7.0,98.7,0.5,7.5,13.7,,,,,,7.0,13.2
ITF4,Puglia,2016,33.4,22.3,99.8,2.9,8.0,99.5,0.20000000000000284,6.9,10.8,,,,,,6.6999999999999975,10.599999999999998
ITF5,Basilicata,2016,25.7,19.1,99.9,3.5,7.0,100.0,0.09999999999999432,6.1,10.1,,,,,,6.000000000000005,10.000000000000005
ITF6,Calabria,2016,30.4,18.8,99.7,4.8,7.0,99.2,0.29999999999999716,6.3,10.6,,,,,,6.000000000000003,10.300000000000002
ITG1,Sicilia,2016,39.1,20.5,99.5,3.6,7.0,98.9,0.5,8.5,13.3,,,,,,8.0,12.8
ITG2,Sardegna,2016,37.5,18.6,99.7,2.8,7.0,98.6,0.29999999999999716,12.8,18.6,,,,,,12.500000000000004,18.300000000000004
ITC1,Piemonte,2017,36.6,21.1,99.8,12.7,7.0,95.3,0.20000000000000284,6.3,11.1,,,,,,6.099999999999997,10.899999999999997
ITC2,Valle d'Aosta / Vallée d'Aoste,2017,33.1,20.4,100.0,6.9,7.0,95.7,0.0,5.6,7.7,,,,,,5.6,7.7
ITC3,Liguria,2017,43.2,21.6,99.7,12.1,8.0,95.3,0.29999999999999716,7.5,12.4,,,,,,7.200000000000003,12.100000000000003
ITC4,Lombardia,2017,46.9,21.9,99.9,14.5,7.0,91.5,0.09999999999999432,6.6,11.8,,,,,,6.500000000000005,11.700000000000006
ITD1,Provincia Autonoma Bolzano / Bozen,2017,,19.7,99.9,10.3,8.0,94.3,0.09999999999999432,6.6,13.3,,,,,,6.500000000000005,13.200000000000006
ITD2,Provincia Autonoma Trento,2017,46.3,21.5,99.8,11.6,8.0,92.3,0.20000000000000284,5.7,8.6,,,,,,5.499999999999997,8.399999999999997
ITD3,Veneto,2017,36.3,21.4,99.8,12.8,7.0,95.2,0.20000000000000284,5.6,10.0,,,,,,5.399999999999997,9.799999999999997
ITD4,Friuli-Venezia Giulia,2017,31.5,20.4,99.7,11.3,7.0,95.9,0.29999999999999716,6.4,11.1,,,,,,6.100000000000003,10.800000000000002
ITD5,Emilia-Romagna,2017,36.0,22.5,99.9,15.3,7.0,95.9,0.09999999999999432,6.5,11.2,,,,,,6.400000000000006,11.100000000000005
ITDA,Trentino Alto Adige / Südtirol,2017,23.0,20.5,99.9,11.0,8.0,93.3,0.09999999999999432,6.1,10.9,,,,,,6.000000000000005,10.800000000000006
ITE1,Toscana,2017,34.0,22.1,99.9,13.9,7.0,98.0,0.09999999999999432,7.3,11.8,,,,,,7.2000000000000055,11.700000000000006
ITE2,Umbria,2017,41.0,20.8,100.0,14.4,8.0,99.3,0.0,4.3,6.7,,,,,,4.3,6.7
ITE3,Marche,2017,38.2,21.6,99.8,11.8,7.0,99.2,0.20000000000000284,5.2,9.1,,,,,,4.999999999999997,8.899999999999997
ITE4,Lazio,2017,42.0,21.1,99.8,10.0,8.0,95.0,0.20000000000000284,6.0,9.5,,,,,,5.799999999999997,9.299999999999997
ITF1,Abruzzo,2017,47.9,19.9,99.8,7.8,8.0,99.2,0.20000000000000284,5.8,9.6,,,,,,5.599999999999997,9.399999999999997
