indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,2025,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,2024,71.5346908569336,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,2023,70.4536437988281,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,2022,71.5107269287109,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,2021,69.9397888183594,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,2020,68.8709411621094,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,2019,67.7331314086914,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,2018,67.5435180664062,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,2017,65.8022308349609,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,2016,64.7276763916016,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,2015,62.7859306335449,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,2014,61.5104789733887,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,2013,59.8487586975098,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,2012,57.9090118408203,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,2011,55.6257286071777,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,2010,54.881721496582,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,2009,52.7731018066406,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,2008,52.4755210876465,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,2007,52.9475402832031,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,2006,53.8754196166992,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,2005,53.8823318481445,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,2004,53.4576301574707,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,2003,52.3169784545898,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,2002,50.2516899108887,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,2001,50.4472885131836,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,2000,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1999,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1998,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1997,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1996,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1995,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1994,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1993,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1992,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1991,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1990,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1989,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1988,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1987,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1986,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1985,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1984,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1983,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1982,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1981,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1980,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1979,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1978,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1977,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1976,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1975,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1974,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1973,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1972,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1971,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1970,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1969,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1968,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1967,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1966,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1965,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1964,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1963,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1962,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1961,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'FR', 'value': 'France'}",FRA,1960,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'DE', 'value': 'Germany'}",DEU,2025,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'DE', 'value': 'Germany'}",DEU,2024,76.7096862792969,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'DE', 'value': 'Germany'}",DEU,2023,78.5947494506836,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'DE', 'value': 'Germany'}",DEU,2022,77.3656997680664,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'DE', 'value': 'Germany'}",DEU,2021,75.6655426025391,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'DE', 'value': 'Germany'}",DEU,2020,72.3894195556641,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'DE', 'value': 'Germany'}",DEU,2019,72.705078125,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'DE', 'value': 'Germany'}",DEU,2018,69.1634292602539,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'DE', 'value': 'Germany'}",DEU,2017,68.4692306518555,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'DE', 'value': 'Germany'}",DEU,2016,67.9464111328125,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'DE', 'value': 'Germany'}",DEU,2015,68.23291015625,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'DE', 'value': 'Germany'}",DEU,2014,65.1844787597656,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'DE', 'value': 'Germany'}",DEU,2013,60.8984489440918,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'DE', 'value': 'Germany'}",DEU,2012,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'DE', 'value': 'Germany'}",DEU,2011,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'DE', 'value': 'Germany'}",DEU,2010,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'DE', 'value': 'Germany'}",DEU,2009,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'DE', 'value': 'Germany'}",DEU,2008,,,,0
"{'id': 'SE.TER.ENRR', 'value': 'School enrollment, tertiary (% gross)'}","{'id': 'DE', 'value': 'Germany'}",DEU,2007,,,,0
